timestamp,processed_timestamp,room_id,temperature,occupancy,humidity,co2_level,window_open,ventilation_level,air_quality_warning,alert_msg
Monday 09:39,1775738051.6968596,room_01,23.01,32,40,1218,False,2,True,High CO2 Levels detected. Please ventilate.
Monday 08:56,1775738051.6999016,room_01,21.54,0,45,571,False,1,False,CO2 Levels normal.
Monday 08:57,1775738051.699984,room_01,21.83,3,46,564,False,1,False,CO2 Levels normal.
Monday 08:58,1775738051.7000358,room_01,21.56,3,47,558,False,1,False,CO2 Levels normal.
Monday 08:59,1775738051.7000873,room_01,21.48,3,48,551,False,1,False,CO2 Levels normal.
Monday 09:00,1775738052.5001175,room_01,21.74,3,49,544,False,1,False,CO2 Levels normal.
Monday 09:01,1775738053.5059323,room_01,21.26,28,50,562,True,1,False,CO2 Levels normal.
Monday 09:02,1775738054.513268,room_01,20.8,25,51,568,True,1,False,CO2 Levels normal.
Monday 09:03,1775738055.5120394,room_01,20.89,28,51,589,False,1,False,CO2 Levels normal.
Monday 09:04,1775738056.5132127,room_01,21.02,25,51,621,False,1,False,CO2 Levels normal.
Monday 09:05,1775738057.5144622,room_01,21.29,27,51,661,False,1,False,CO2 Levels normal.
Monday 09:06,1775738058.5168257,room_01,21.53,25,52,695,False,1,False,CO2 Levels normal.
Monday 09:07,1775738059.5183673,room_01,21.78,24,53,723,False,1,False,CO2 Levels normal.
Monday 09:08,1775738060.5203469,room_01,21.58,26,52,744,False,1,False,CO2 Levels normal.
Monday 09:09,1775738061.5344555,room_01,21.41,27,53,768,False,1,False,CO2 Levels normal.
Monday 09:10,1775738062.5246701,room_01,21.22,25,54,763,True,1,False,CO2 Levels normal.
Monday 09:11,1775738063.528412,room_01,21.57,27,53,782,False,1,False,CO2 Levels normal.
Monday 09:12,1775738064.531305,room_01,21.5,28,53,810,False,1,False,CO2 Levels normal.
Monday 09:13,1775738065.5371394,room_01,21.45,24,54,825,False,2,False,CO2 Levels normal.
Monday 09:14,1775738066.5407512,room_01,21.36,28,55,818,True,2,False,CO2 Levels normal.
Monday 09:15,1775738067.5383856,room_01,21.57,25,55,829,False,2,False,CO2 Levels normal.
Monday 09:16,1775738068.5398474,room_01,21.83,24,54,834,False,2,False,CO2 Levels normal.
Monday 09:17,1775738069.5448217,room_01,21.97,27,54,848,False,2,False,CO2 Levels normal.
Monday 09:18,1775738070.5548785,room_01,22.0,27,53,846,False,2,False,CO2 Levels normal.
Monday 09:19,1775738071.5608065,room_01,22.33,24,52,848,False,2,False,CO2 Levels normal.
Monday 09:20,1775738072.5623457,room_01,22.42,26,52,861,False,2,False,CO2 Levels normal.
Monday 09:21,1775738073.5698318,room_01,22.58,24,51,866,False,2,False,CO2 Levels normal.
Monday 09:22,1775738074.5713778,room_01,22.83,25,52,883,False,2,False,CO2 Levels normal.
Monday 09:23,1775738075.5731168,room_01,22.7,25,52,885,False,2,False,CO2 Levels normal.
Monday 09:24,1775738076.575306,room_01,22.22,26,52,879,True,2,False,CO2 Levels normal.
Monday 09:25,1775738077.5790954,room_01,22.44,25,51,893,False,2,False,CO2 Levels normal.
Monday 09:26,1775738078.6073208,room_01,22.83,28,50,914,False,2,False,CO2 Levels normal.
Monday 09:27,1775738079.6072233,room_01,22.92,28,50,917,False,2,False,CO2 Levels normal.
Monday 09:28,1775738080.6100614,room_01,22.97,28,49,913,True,2,False,CO2 Levels normal.
Monday 09:29,1775738081.616699,room_01,22.82,28,50,922,False,2,False,CO2 Levels normal.
Monday 09:30,1775738082.6204193,room_01,23.05,24,50,930,False,2,False,CO2 Levels normal.
Monday 09:31,1775738083.622416,room_01,23.01,25,49,941,False,2,False,CO2 Levels normal.
Monday 09:32,1775738084.6246002,room_01,22.84,27,48,960,False,2,False,CO2 Levels normal.
Monday 09:33,1775738085.6278102,room_01,22.43,25,47,936,True,2,False,CO2 Levels normal.
Monday 09:34,1775738086.635168,room_01,22.66,26,46,938,False,2,False,CO2 Levels normal.
Monday 09:35,1775738087.643734,room_01,22.41,25,46,928,True,2,False,CO2 Levels normal.
Monday 09:36,1775738088.64768,room_01,22.71,26,46,936,False,2,False,CO2 Levels normal.
Monday 09:37,1775738089.6483274,room_01,23.01,27,45,942,False,2,False,CO2 Levels normal.
Monday 09:38,1775738090.6539974,room_01,23.23,24,46,939,False,2,False,CO2 Levels normal.
Monday 09:39,1775738091.6545625,room_01,23.13,25,45,950,False,2,False,CO2 Levels normal.
Monday 09:40,1775738092.6547537,room_01,23.31,27,44,955,False,2,False,CO2 Levels normal.
Monday 09:41,1775738093.6558526,room_01,22.86,28,44,935,True,2,False,CO2 Levels normal.
Monday 09:42,1775738094.6580412,room_01,23.35,28,45,949,False,2,False,CO2 Levels normal.
Monday 09:43,1775738095.6597342,room_01,23.37,25,45,957,False,2,False,CO2 Levels normal.
Monday 09:44,1775738096.6599424,room_01,22.82,28,45,938,True,2,False,CO2 Levels normal.
Monday 09:45,1775738097.661412,room_01,23.05,26,44,947,False,2,False,CO2 Levels normal.
Monday 09:46,1775738098.662044,room_01,23.18,13,43,932,False,2,False,CO2 Levels normal.
Monday 09:47,1775738099.664285,room_01,23.25,14,42,922,False,2,False,CO2 Levels normal.
Monday 09:48,1775738100.6665738,room_01,22.78,15,42,893,True,2,False,CO2 Levels normal.
Monday 09:49,1775738101.6825535,room_01,22.99,15,42,879,False,2,False,CO2 Levels normal.
Monday 09:50,1775738102.6851315,room_01,23.02,16,42,866,False,2,False,CO2 Levels normal.
Monday 09:51,1775738103.6849346,room_01,22.54,15,42,838,True,2,False,CO2 Levels normal.
Monday 09:52,1775738104.6932724,room_01,21.87,14,42,804,True,2,False,CO2 Levels normal.
Monday 09:53,1775738105.6921444,room_01,21.81,13,43,797,False,2,False,CO2 Levels normal.
Monday 09:54,1775738106.6965332,room_01,21.86,14,42,807,False,1,False,CO2 Levels normal.
Monday 09:55,1775738107.707333,room_01,22.17,14,43,796,False,2,False,CO2 Levels normal.
Monday 09:56,1775738108.7078762,room_01,22.22,15,42,808,False,1,False,CO2 Levels normal.
Monday 09:57,1775738109.7105224,room_01,22.06,14,43,797,False,2,False,CO2 Levels normal.
Monday 09:58,1775738110.7116718,room_01,22.26,13,42,807,False,1,False,CO2 Levels normal.
Monday 09:59,1775738111.7129428,room_01,22.5,12,41,800,False,2,False,CO2 Levels normal.
Monday 10:00,1775738112.7228138,room_01,22.05,12,41,763,True,2,False,CO2 Levels normal.
Monday 10:01,1775738113.7225213,room_01,22.07,23,40,794,False,1,False,CO2 Levels normal.
Monday 10:02,1775738114.7231216,room_01,21.64,24,40,805,True,1,False,CO2 Levels normal.
Monday 10:03,1775738115.7292001,room_01,22.04,25,39,818,False,2,False,CO2 Levels normal.
Monday 10:04,1775738116.7282717,room_01,21.86,24,40,833,False,2,False,CO2 Levels normal.
Monday 10:05,1775738117.7333426,room_01,22.05,26,39,851,False,2,False,CO2 Levels normal.
Monday 10:06,1775738118.7310236,room_01,22.1,24,40,864,False,2,False,CO2 Levels normal.
Monday 10:07,1775738119.7380683,room_01,21.98,25,39,860,False,2,False,CO2 Levels normal.
Monday 10:08,1775738120.7341406,room_01,22.29,25,38,867,False,2,False,CO2 Levels normal.
Monday 10:09,1775738121.7400036,room_01,22.33,23,38,861,False,2,False,CO2 Levels normal.
Monday 10:10,1775738122.7454226,room_01,22.53,26,38,879,False,2,False,CO2 Levels normal.
Monday 10:11,1775738123.7441556,room_01,22.64,27,39,880,False,2,False,CO2 Levels normal.
Monday 10:12,1775738124.7476585,room_01,22.5,24,39,882,False,2,False,CO2 Levels normal.
Monday 10:13,1775738125.7534897,room_01,22.48,27,39,873,True,2,False,CO2 Levels normal.
Monday 10:14,1775738126.7485657,room_01,21.93,24,40,847,True,2,False,CO2 Levels normal.
Monday 10:15,1775738127.7526248,room_01,22.21,25,41,845,False,2,False,CO2 Levels normal.
Monday 10:16,1775738128.7550728,room_01,22.16,24,40,845,False,2,False,CO2 Levels normal.
Monday 10:17,1775738129.7555149,room_01,22.05,26,41,857,False,2,False,CO2 Levels normal.
Monday 10:18,1775738130.757029,room_01,22.34,23,40,872,False,2,False,CO2 Levels normal.
Monday 10:19,1775738131.7692134,room_01,22.33,24,39,878,False,2,False,CO2 Levels normal.
Monday 10:20,1775738132.7633433,room_01,22.73,27,40,883,False,2,False,CO2 Levels normal.
Monday 10:21,1775738133.7685785,room_01,22.99,26,40,895,False,2,False,CO2 Levels normal.
Monday 10:22,1775738134.7683492,room_01,23.25,23,39,904,False,2,False,CO2 Levels normal.
Monday 10:23,1775738135.7722414,room_01,22.88,27,39,883,True,2,False,CO2 Levels normal.
Monday 10:24,1775738136.779008,room_01,22.71,27,38,872,True,2,False,CO2 Levels normal.
Monday 10:25,1775738137.7827256,room_01,23.13,24,38,881,False,2,False,CO2 Levels normal.
Monday 10:26,1775738138.7901003,room_01,23.14,27,38,898,False,2,False,CO2 Levels normal.
Monday 10:27,1775738139.7881255,room_01,23.45,25,39,914,False,2,False,CO2 Levels normal.
Monday 10:28,1775738140.7967618,room_01,22.94,23,40,907,True,2,False,CO2 Levels normal.
Monday 10:29,1775738141.7992587,room_01,23.16,25,39,911,False,2,False,CO2 Levels normal.
