window_start,window_end,message_count,msgs_per_sec,topic
1776722902.822,1776722912.916,97,9.61,room_temperature_mp
1776722912.916,1776722922.931,98,9.79,room_temperature_mp
1776722922.931,1776722932.955,98,9.78,room_temperature_mp
1776722932.955,1776722942.957,98,9.8,room_temperature_mp
1776722942.957,1776722952.961,98,9.8,room_temperature_mp
1776722952.961,1776722962.978,98,9.78,room_temperature_mp
1776722962.978,1776722973.047,98,9.73,room_temperature_mp
1776722973.047,1776722983.107,98,9.74,room_temperature_mp
1776722983.107,1776722993.127,98,9.78,room_temperature_mp
1776722993.127,1776723003.161,98,9.77,room_temperature_mp
1776723003.161,1776723013.186,98,9.78,room_temperature_mp
1776723013.186,1776723023.237,98,9.75,room_temperature_mp
1776723023.237,1776723033.3,98,9.74,room_temperature_mp
1776723033.3,1776723043.363,98,9.74,room_temperature_mp
1776723043.363,1776723053.394,98,9.77,room_temperature_mp
1776723053.394,1776723063.414,98,9.78,room_temperature_mp
1776723063.414,1776723073.416,98,9.8,room_temperature_mp
1776723073.416,1776723083.422,98,9.79,room_temperature_mp
1776723083.422,1776723093.447,98,9.78,room_temperature_mp
1776723093.447,1776723103.54,99,9.81,room_temperature_mp
1776723103.54,1776723113.562,98,9.78,room_temperature_mp
1776723113.562,1776723123.603,98,9.76,room_temperature_mp
1776723123.603,1776723133.616,98,9.79,room_temperature_mp
1776723133.616,1776723143.644,98,9.77,room_temperature_mp
1776723143.644,1776723153.671,98,9.77,room_temperature_mp
1776723153.671,1776723163.696,98,9.77,room_temperature_mp
1776723163.696,1776723173.731,98,9.77,room_temperature_mp
1776723173.731,1776723183.779,98,9.75,room_temperature_mp
1776723183.779,1776723193.789,98,9.79,room_temperature_mp
1776723193.789,1776723203.847,98,9.74,room_temperature_mp
1776723203.847,1776723213.871,98,9.78,room_temperature_mp
1776723213.871,1776723223.905,98,9.77,room_temperature_mp
1776723223.905,1776723233.969,98,9.74,room_temperature_mp
1776723233.969,1776723244.017,98,9.75,room_temperature_mp
1776723244.017,1776723254.108,98,9.71,room_temperature_mp
1776723254.108,1776723264.14,98,9.77,room_temperature_mp
1776723264.14,1776723274.216,98,9.73,room_temperature_mp
1776723274.216,1776723284.243,98,9.77,room_temperature_mp
1776723284.243,1776723294.259,98,9.78,room_temperature_mp
1776723294.259,1776723304.274,97,9.69,room_temperature_mp
1776723304.274,1776723314.308,98,9.77,room_temperature_mp
1776723314.308,1776723324.376,98,9.73,room_temperature_mp
1776723324.376,1776723334.425,98,9.75,room_temperature_mp
1776723334.425,1776723344.464,98,9.76,room_temperature_mp
1776723344.464,1776723354.503,98,9.76,room_temperature_mp
1776723354.503,1776723364.539,98,9.77,room_temperature_mp
1776723364.539,1776723374.583,98,9.76,room_temperature_mp
1776723374.583,1776723384.631,93,9.26,room_temperature_mp
1776723384.631,1776723394.718,98,9.71,room_temperature_mp
1776723394.718,1776723404.792,97,9.63,room_temperature_mp
1776723404.792,1776723414.854,98,9.74,room_temperature_mp
1776723414.854,1776723424.878,98,9.78,room_temperature_mp
1776723424.878,1776723434.955,98,9.73,room_temperature_mp
1776723434.955,1776723445.024,98,9.73,room_temperature_mp
1776723445.024,1776723455.076,98,9.75,room_temperature_mp
1776723455.076,1776723465.139,98,9.74,room_temperature_mp
1776723465.139,1776723475.148,98,9.79,room_temperature_mp
1776723475.148,1776723485.203,98,9.75,room_temperature_mp
1776723485.203,1776723495.205,98,9.8,room_temperature_mp
1776723495.205,1776723505.206,98,9.8,room_temperature_mp
1776723505.206,1776723515.208,98,9.8,room_temperature_mp
1776723515.208,1776723525.233,98,9.78,room_temperature_mp
1776723525.233,1776723535.276,98,9.76,room_temperature_mp
1776723535.276,1776723545.307,98,9.77,room_temperature_mp
1776723545.307,1776723555.345,98,9.76,room_temperature_mp
1776723555.345,1776723565.42,98,9.73,room_temperature_mp
1776723565.42,1776723575.446,98,9.78,room_temperature_mp
1776723575.446,1776723585.468,98,9.78,room_temperature_mp
1776723585.468,1776723595.501,98,9.77,room_temperature_mp
1776723595.501,1776723605.537,98,9.77,room_temperature_mp
1776723605.537,1776723615.66,97,9.58,room_temperature_mp
1776723615.66,1776723625.663,99,9.9,room_temperature_mp
1776723625.663,1776723635.736,98,9.73,room_temperature_mp
1776723635.736,1776723645.834,98,9.7,room_temperature_mp
1776723645.834,1776723655.875,98,9.76,room_temperature_mp
1776723655.875,1776723665.954,98,9.72,room_temperature_mp
1776723665.954,1776723675.966,97,9.69,room_temperature_mp
1776723675.966,1776723686.054,98,9.71,room_temperature_mp
1776723686.054,1776723696.118,98,9.74,room_temperature_mp
1776723696.118,1776723706.176,98,9.74,room_temperature_mp
1776723706.176,1776723716.2,97,9.68,room_temperature_mp
1776723716.2,1776723726.283,98,9.72,room_temperature_mp
1776723726.283,1776723736.373,98,9.71,room_temperature_mp
1776723736.373,1776723746.462,98,9.71,room_temperature_mp
1776723746.462,1776723756.513,98,9.75,room_temperature_mp
1776723756.513,1776723766.569,98,9.75,room_temperature_mp
1776723766.569,1776723776.59,98,9.78,room_temperature_mp
1776723776.59,1776723786.632,98,9.76,room_temperature_mp
1776723786.632,1776723796.675,98,9.76,room_temperature_mp
1776723796.675,1776723806.732,98,9.74,room_temperature_mp
