wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776759620.659,room_07,1776759619.929,1776759619.936,1776759620.659,729.938,7.13,722.811,room_alerts_mp
1776759620.936,room_08,1776759620.931,1776759620.933,1776759620.936,5.513,2.46,3.053,room_alerts_mp
1776759621.942,room_09,1776759621.935,1776759621.94,1776759621.942,6.818,4.46,2.358,room_alerts_mp
1776759622.944,room_10,1776759622.937,1776759622.941,1776759622.944,7.129,4.04,3.092,room_alerts_mp
1776759623.945,room_11,1776759623.94,1776759623.942,1776759623.945,5.12,1.93,3.187,room_alerts_mp
1776759624.947,room_12,1776759624.943,1776759624.945,1776759624.947,3.974,2.02,1.958,room_alerts_mp
1776759625.948,room_13,1776759625.943,1776759625.945,1776759625.948,4.946,2.04,2.904,room_alerts_mp
1776759626.949,room_14,1776759626.944,1776759626.946,1776759626.949,4.473,1.96,2.512,room_alerts_mp
1776759627.951,room_15,1776759627.945,1776759627.948,1776759627.951,5.12,2.25,2.867,room_alerts_mp
1776759628.953,room_01,1776759628.947,1776759628.951,1776759628.953,6.449,4.06,2.393,room_alerts_mp
1776759629.959,room_02,1776759629.948,1776759629.957,1776759629.959,10.897,8.22,2.675,room_alerts_mp
1776759630.956,room_03,1776759630.951,1776759630.953,1776759630.956,4.788,2.29,2.498,room_alerts_mp
1776759631.964,room_04,1776759631.955,1776759631.961,1776759631.964,8.461,5.81,2.655,room_alerts_mp
1776759632.966,room_05,1776759632.958,1776759632.963,1776759632.966,8.245,5.54,2.707,room_alerts_mp
1776759633.965,room_06,1776759633.961,1776759633.962,1776759633.965,4.351,1.91,2.438,room_alerts_mp
1776759634.969,room_07,1776759634.962,1776759634.966,1776759634.969,6.898,3.79,3.112,room_alerts_mp
1776759635.97,room_08,1776759635.966,1776759635.967,1776759635.97,3.732,1.34,2.394,room_alerts_mp
1776759636.981,room_09,1776759636.971,1776759636.978,1776759636.981,9.883,6.68,3.207,room_alerts_mp
1776759637.982,room_10,1776759637.976,1776759637.98,1776759637.982,6.696,4.76,1.932,room_alerts_mp
1776759638.988,room_11,1776759638.981,1776759638.985,1776759638.988,6.985,3.82,3.16,room_alerts_mp
1776759639.991,room_12,1776759639.985,1776759639.989,1776759639.991,6.449,4.32,2.13,room_alerts_mp
1776759640.99,room_13,1776759640.986,1776759640.988,1776759640.99,3.954,1.85,2.102,room_alerts_mp
1776759641.991,room_14,1776759641.987,1776759641.989,1776759641.991,3.768,1.91,1.858,room_alerts_mp
1776759642.997,room_15,1776759642.991,1776759642.995,1776759642.997,6.768,4.37,2.401,room_alerts_mp
1776759644.001,room_01,1776759643.994,1776759643.998,1776759644.001,6.732,4.36,2.376,room_alerts_mp
1776759645.001,room_02,1776759644.995,1776759644.999,1776759645.001,6.835,4.2,2.637,room_alerts_mp
1776759646.011,room_03,1776759645.996,1776759646.008,1776759646.011,14.618,11.94,2.673,room_alerts_mp
1776759647.007,room_04,1776759646.998,1776759647.004,1776759647.007,8.761,6.33,2.427,room_alerts_mp
1776759648.004,room_05,1776759648.0,1776759648.002,1776759648.004,4.288,1.98,2.306,room_alerts_mp
