wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776759619.241,room_08,1776759619.238,1776759619.241,2.645,room_temperature_mp
1776759619.342,room_09,1776759619.339,1776759619.342,3.123,room_temperature_mp
1776759619.443,room_10,1776759619.44,1776759619.443,2.738,room_temperature_mp
1776759619.548,room_11,1776759619.545,1776759619.548,2.907,room_temperature_mp
1776759619.649,room_12,1776759619.646,1776759619.649,3.137,room_temperature_mp
1776759619.75,room_13,1776759619.747,1776759619.75,2.894,room_temperature_mp
1776759619.857,room_14,1776759619.852,1776759619.857,4.851,room_temperature_mp
1776759619.959,room_15,1776759619.957,1776759619.959,2.537,room_temperature_mp
1776759620.06,room_01,1776759620.058,1776759620.06,2.382,room_temperature_mp
1776759620.162,room_02,1776759620.159,1776759620.162,2.71,room_temperature_mp
1776759620.263,room_03,1776759620.261,1776759620.263,2.746,room_temperature_mp
1776759620.364,room_04,1776759620.361,1776759620.364,2.604,room_temperature_mp
1776759620.469,room_05,1776759620.465,1776759620.469,3.563,room_temperature_mp
1776759620.569,room_06,1776759620.566,1776759620.569,3.431,room_temperature_mp
1776759620.669,room_07,1776759620.667,1776759620.669,2.47,room_temperature_mp
1776759620.772,room_08,1776759620.769,1776759620.772,3.038,room_temperature_mp
1776759620.874,room_09,1776759620.871,1776759620.874,2.806,room_temperature_mp
1776759620.974,room_10,1776759620.971,1776759620.974,2.612,room_temperature_mp
1776759621.082,room_11,1776759621.077,1776759621.082,4.918,room_temperature_mp
1776759621.18,room_12,1776759621.178,1776759621.18,2.447,room_temperature_mp
1776759621.286,room_13,1776759621.28,1776759621.286,6.03,room_temperature_mp
1776759621.385,room_14,1776759621.382,1776759621.385,2.377,room_temperature_mp
1776759621.491,room_15,1776759621.484,1776759621.491,7.736,room_temperature_mp
1776759621.593,room_01,1776759621.588,1776759621.593,5.424,room_temperature_mp
1776759621.691,room_02,1776759621.689,1776759621.691,2.508,room_temperature_mp
1776759621.793,room_03,1776759621.79,1776759621.793,2.572,room_temperature_mp
1776759621.893,room_04,1776759621.891,1776759621.893,1.751,room_temperature_mp
1776759621.998,room_05,1776759621.992,1776759621.998,5.726,room_temperature_mp
1776759622.099,room_06,1776759622.093,1776759622.099,6.242,room_temperature_mp
1776759622.197,room_07,1776759622.194,1776759622.197,2.572,room_temperature_mp
1776759622.301,room_08,1776759622.297,1776759622.301,4.142,room_temperature_mp
1776759622.409,room_09,1776759622.399,1776759622.409,9.661,room_temperature_mp
1776759622.502,room_10,1776759622.5,1776759622.502,2.567,room_temperature_mp
1776759622.61,room_11,1776759622.602,1776759622.61,7.987,room_temperature_mp
1776759622.71,room_12,1776759622.707,1776759622.71,2.519,room_temperature_mp
1776759622.813,room_13,1776759622.808,1776759622.813,5.138,room_temperature_mp
1776759622.918,room_14,1776759622.909,1776759622.918,8.894,room_temperature_mp
1776759623.013,room_15,1776759623.01,1776759623.013,2.746,room_temperature_mp
1776759623.118,room_01,1776759623.112,1776759623.118,5.375,room_temperature_mp
1776759623.215,room_02,1776759623.213,1776759623.215,2.456,room_temperature_mp
1776759623.321,room_03,1776759623.314,1776759623.321,6.123,room_temperature_mp
1776759623.422,room_04,1776759623.416,1776759623.422,5.595,room_temperature_mp
1776759623.519,room_05,1776759623.517,1776759623.519,1.982,room_temperature_mp
1776759623.623,room_06,1776759623.619,1776759623.623,4.337,room_temperature_mp
1776759623.722,room_07,1776759623.72,1776759623.722,2.166,room_temperature_mp
1776759623.827,room_08,1776759623.822,1776759623.827,4.933,room_temperature_mp
1776759623.931,room_09,1776759623.924,1776759623.931,6.17,room_temperature_mp
1776759624.029,room_10,1776759624.026,1776759624.029,2.568,room_temperature_mp
1776759624.129,room_11,1776759624.127,1776759624.129,2.439,room_temperature_mp
1776759624.231,room_12,1776759624.228,1776759624.231,2.625,room_temperature_mp
1776759624.332,room_13,1776759624.329,1776759624.332,2.784,room_temperature_mp
1776759624.434,room_14,1776759624.431,1776759624.434,2.357,room_temperature_mp
1776759624.534,room_15,1776759624.532,1776759624.534,2.55,room_temperature_mp
1776759624.636,room_01,1776759624.633,1776759624.636,2.738,room_temperature_mp
1776759624.738,room_02,1776759624.736,1776759624.738,2.02,room_temperature_mp
1776759624.84,room_03,1776759624.837,1776759624.84,2.475,room_temperature_mp
1776759624.94,room_04,1776759624.939,1776759624.94,1.766,room_temperature_mp
1776759625.042,room_05,1776759625.039,1776759625.042,2.593,room_temperature_mp
1776759625.144,room_06,1776759625.141,1776759625.144,2.923,room_temperature_mp
1776759625.244,room_07,1776759625.242,1776759625.244,2.495,room_temperature_mp
1776759625.345,room_08,1776759625.342,1776759625.345,2.398,room_temperature_mp
1776759625.446,room_09,1776759625.443,1776759625.446,2.552,room_temperature_mp
1776759625.547,room_10,1776759625.544,1776759625.547,3.164,room_temperature_mp
1776759625.648,room_11,1776759625.646,1776759625.648,2.715,room_temperature_mp
1776759625.749,room_12,1776759625.746,1776759625.749,2.612,room_temperature_mp
1776759625.85,room_13,1776759625.847,1776759625.85,2.231,room_temperature_mp
1776759625.95,room_14,1776759625.948,1776759625.95,2.035,room_temperature_mp
1776759626.051,room_15,1776759626.049,1776759626.051,2.713,room_temperature_mp
1776759626.153,room_01,1776759626.15,1776759626.153,2.948,room_temperature_mp
1776759626.253,room_02,1776759626.25,1776759626.253,2.694,room_temperature_mp
1776759626.355,room_03,1776759626.352,1776759626.355,2.531,room_temperature_mp
1776759626.456,room_04,1776759626.453,1776759626.456,2.66,room_temperature_mp
1776759626.557,room_05,1776759626.554,1776759626.557,2.101,room_temperature_mp
1776759626.658,room_06,1776759626.655,1776759626.658,2.575,room_temperature_mp
1776759626.759,room_07,1776759626.756,1776759626.759,2.489,room_temperature_mp
1776759626.859,room_08,1776759626.857,1776759626.859,2.115,room_temperature_mp
1776759626.961,room_09,1776759626.958,1776759626.961,2.475,room_temperature_mp
1776759627.063,room_10,1776759627.059,1776759627.063,3.523,room_temperature_mp
1776759627.164,room_11,1776759627.162,1776759627.164,2.662,room_temperature_mp
1776759627.265,room_12,1776759627.263,1776759627.265,2.389,room_temperature_mp
1776759627.366,room_13,1776759627.364,1776759627.366,2.621,room_temperature_mp
1776759627.467,room_14,1776759627.464,1776759627.467,2.77,room_temperature_mp
1776759627.569,room_15,1776759627.566,1776759627.569,2.79,room_temperature_mp
1776759627.672,room_01,1776759627.669,1776759627.672,2.698,room_temperature_mp
1776759627.773,room_02,1776759627.771,1776759627.773,2.319,room_temperature_mp
1776759627.876,room_03,1776759627.873,1776759627.876,2.281,room_temperature_mp
1776759627.977,room_04,1776759627.974,1776759627.977,2.598,room_temperature_mp
1776759628.077,room_05,1776759628.076,1776759628.077,1.963,room_temperature_mp
1776759628.185,room_06,1776759628.179,1776759628.185,6.469,room_temperature_mp
1776759628.282,room_07,1776759628.279,1776759628.282,2.435,room_temperature_mp
1776759628.386,room_08,1776759628.38,1776759628.386,6.098,room_temperature_mp
1776759628.488,room_09,1776759628.481,1776759628.488,6.489,room_temperature_mp
1776759628.585,room_10,1776759628.583,1776759628.585,2.642,room_temperature_mp
1776759628.688,room_11,1776759628.684,1776759628.688,4.102,room_temperature_mp
1776759628.788,room_12,1776759628.785,1776759628.788,2.605,room_temperature_mp
1776759628.894,room_13,1776759628.888,1776759628.894,6.845,room_temperature_mp
1776759628.995,room_14,1776759628.99,1776759628.995,4.815,room_temperature_mp
1776759629.096,room_15,1776759629.093,1776759629.096,2.307,room_temperature_mp
1776759629.199,room_01,1776759629.197,1776759629.199,1.899,room_temperature_mp
1776759629.301,room_02,1776759629.299,1776759629.301,2.055,room_temperature_mp
1776759629.403,room_03,1776759629.4,1776759629.403,2.813,room_temperature_mp
1776759629.502,room_04,1776759629.5,1776759629.502,1.961,room_temperature_mp
1776759629.614,room_05,1776759629.607,1776759629.614,6.909,room_temperature_mp
1776759629.718,room_06,1776759629.709,1776759629.718,8.697,room_temperature_mp
1776759629.813,room_07,1776759629.811,1776759629.813,2.752,room_temperature_mp
1776759629.919,room_08,1776759629.915,1776759629.919,4.076,room_temperature_mp
1776759630.019,room_09,1776759630.016,1776759630.019,2.438,room_temperature_mp
1776759630.121,room_10,1776759630.119,1776759630.121,2.223,room_temperature_mp
1776759630.227,room_11,1776759630.224,1776759630.227,2.787,room_temperature_mp
1776759630.33,room_12,1776759630.326,1776759630.33,4.095,room_temperature_mp
1776759630.45,room_13,1776759630.447,1776759630.45,3.748,room_temperature_mp
1776759630.562,room_14,1776759630.549,1776759630.562,13.344,room_temperature_mp
1776759630.67,room_15,1776759630.653,1776759630.67,17.108,room_temperature_mp
1776759630.766,room_01,1776759630.761,1776759630.766,5.436,room_temperature_mp
1776759630.872,room_02,1776759630.869,1776759630.872,2.601,room_temperature_mp
1776759630.973,room_03,1776759630.971,1776759630.973,1.877,room_temperature_mp
1776759631.075,room_04,1776759631.072,1776759631.075,2.552,room_temperature_mp
1776759631.176,room_05,1776759631.173,1776759631.176,2.593,room_temperature_mp
1776759631.276,room_06,1776759631.274,1776759631.276,2.156,room_temperature_mp
1776759631.382,room_07,1776759631.38,1776759631.382,2.186,room_temperature_mp
1776759631.488,room_08,1776759631.483,1776759631.488,4.954,room_temperature_mp
1776759631.59,room_09,1776759631.584,1776759631.59,6.431,room_temperature_mp
1776759631.69,room_10,1776759631.686,1776759631.69,3.428,room_temperature_mp
