window_start,window_end,message_count,msgs_per_sec,topic
1776759618.915,1776759628.954,10,1.0,room_alerts_mp
1776759628.954,1776759638.988,10,1.0,room_alerts_mp
1776759638.988,1776759649.01,10,1.0,room_alerts_mp
1776759649.01,1776759659.048,10,1.0,room_alerts_mp
1776759659.048,1776759669.07,10,1.0,room_alerts_mp
1776759669.07,1776759679.093,10,1.0,room_alerts_mp
1776759679.093,1776759689.13,10,1.0,room_alerts_mp
1776759689.13,1776759699.154,10,1.0,room_alerts_mp
1776759699.154,1776759709.166,10,1.0,room_alerts_mp
1776759709.166,1776759719.181,10,1.0,room_alerts_mp
1776759719.181,1776759729.203,10,1.0,room_alerts_mp
1776759729.203,1776759739.223,10,1.0,room_alerts_mp
1776759739.223,1776759749.235,10,1.0,room_alerts_mp
1776759749.235,1776759759.254,10,1.0,room_alerts_mp
1776759759.254,1776759769.271,10,1.0,room_alerts_mp
1776759769.271,1776759779.297,10,1.0,room_alerts_mp
1776759779.297,1776759789.341,10,1.0,room_alerts_mp
1776759789.341,1776759799.386,10,1.0,room_alerts_mp
1776759799.386,1776759809.393,10,1.0,room_alerts_mp
1776759809.393,1776759819.412,10,1.0,room_alerts_mp
1776759819.412,1776759829.425,10,1.0,room_alerts_mp
1776759829.425,1776759839.443,10,1.0,room_alerts_mp
1776759839.443,1776759849.461,10,1.0,room_alerts_mp
1776759849.461,1776759859.477,10,1.0,room_alerts_mp
1776759859.477,1776759869.5,10,1.0,room_alerts_mp
1776759869.5,1776759879.581,10,0.99,room_alerts_mp
1776759879.581,1776759890.553,11,1.0,room_alerts_mp
1776759890.553,1776759900.577,10,1.0,room_alerts_mp
1776759900.577,1776759910.761,10,0.98,room_alerts_mp
1776759910.761,1776759921.651,11,1.01,room_alerts_mp
