window_start,window_end,message_count,msgs_per_sec,topic
1776759618.914,1776759628.995,97,9.62,room_temperature_mp
1776759628.995,1776759639.033,98,9.76,room_temperature_mp
1776759639.033,1776759649.077,98,9.76,room_temperature_mp
1776759649.077,1776759659.112,98,9.77,room_temperature_mp
1776759659.112,1776759669.126,98,9.79,room_temperature_mp
1776759669.126,1776759679.13,98,9.8,room_temperature_mp
1776759679.13,1776759689.136,98,9.79,room_temperature_mp
1776759689.136,1776759699.15,98,9.79,room_temperature_mp
1776759699.15,1776759709.162,98,9.79,room_temperature_mp
1776759709.162,1776759719.214,98,9.75,room_temperature_mp
1776759719.214,1776759729.267,98,9.75,room_temperature_mp
1776759729.267,1776759739.292,98,9.78,room_temperature_mp
1776759739.292,1776759749.327,98,9.77,room_temperature_mp
1776759749.327,1776759759.369,98,9.76,room_temperature_mp
1776759759.369,1776759769.404,98,9.77,room_temperature_mp
1776759769.404,1776759779.418,98,9.79,room_temperature_mp
1776759779.418,1776759789.461,98,9.76,room_temperature_mp
1776759789.461,1776759799.555,99,9.81,room_temperature_mp
1776759799.555,1776759809.63,98,9.73,room_temperature_mp
1776759809.63,1776759819.633,98,9.8,room_temperature_mp
1776759819.633,1776759829.695,98,9.74,room_temperature_mp
1776759829.695,1776759839.759,94,9.34,room_temperature_mp
1776759839.759,1776759849.805,98,9.76,room_temperature_mp
1776759849.805,1776759859.903,99,9.8,room_temperature_mp
1776759859.903,1776759869.912,98,9.79,room_temperature_mp
1776759869.912,1776759879.946,98,9.77,room_temperature_mp
1776759879.946,1776759889.992,98,9.75,room_temperature_mp
1776759889.992,1776759900.092,99,9.8,room_temperature_mp
1776759900.092,1776759910.11,98,9.78,room_temperature_mp
1776759910.11,1776759920.169,98,9.74,room_temperature_mp
