wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776759970.476,room_07,1776759970.469,1776759970.474,1776759970.476,7.071,5.0,2.069,room_alerts_mp
1776759971.477,room_08,1776759971.472,1776759971.474,1776759971.477,4.69,2.28,2.408,room_alerts_mp
1776759972.484,room_09,1776759972.475,1776759972.482,1776759972.484,9.963,6.99,2.972,room_alerts_mp
1776759973.48,room_10,1776759973.476,1776759973.478,1776759973.48,3.83,1.36,2.474,room_alerts_mp
1776759974.483,room_11,1776759974.478,1776759974.48,1776759974.483,5.218,2.03,3.185,room_alerts_mp
1776759975.483,room_12,1776759975.479,1776759975.481,1776759975.483,4.101,1.95,2.15,room_alerts_mp
1776759976.485,room_13,1776759976.48,1776759976.482,1776759976.485,4.7,2.01,2.69,room_alerts_mp
1776759977.486,room_14,1776759977.481,1776759977.483,1776759977.486,4.441,1.78,2.661,room_alerts_mp
1776759978.495,room_15,1776759978.482,1776759978.486,1776759978.495,12.822,3.86,8.964,room_alerts_mp
1776759979.491,room_01,1776759979.483,1776759979.488,1776759979.491,7.926,4.65,3.273,room_alerts_mp
1776759980.494,room_02,1776759980.485,1776759980.491,1776759980.494,9.525,6.47,3.055,room_alerts_mp
1776759981.495,room_03,1776759981.487,1776759981.493,1776759981.495,8.158,5.41,2.749,room_alerts_mp
1776759982.495,room_04,1776759982.488,1776759982.493,1776759982.495,6.938,5.04,1.9,room_alerts_mp
1776759983.495,room_05,1776759983.491,1776759983.493,1776759983.495,4.542,2.45,2.094,room_alerts_mp
1776759984.5,room_06,1776759984.492,1776759984.497,1776759984.5,8.042,5.3,2.745,room_alerts_mp
1776759985.508,room_07,1776759985.495,1776759985.507,1776759985.508,12.8,11.11,1.69,room_alerts_mp
1776759986.51,room_08,1776759986.501,1776759986.508,1776759986.51,9.702,7.0,2.699,room_alerts_mp
1776759987.508,room_09,1776759987.502,1776759987.506,1776759987.508,5.89,3.37,2.518,room_alerts_mp
1776759988.514,room_10,1776759988.504,1776759988.511,1776759988.514,9.903,7.18,2.728,room_alerts_mp
1776759989.514,room_11,1776759989.505,1776759989.51,1776759989.514,8.323,5.19,3.131,room_alerts_mp
1776759990.516,room_12,1776759990.508,1776759990.514,1776759990.516,8.026,5.41,2.614,room_alerts_mp
1776759991.52,room_13,1776759991.509,1776759991.516,1776759991.52,11.112,6.26,4.854,room_alerts_mp
1776759992.515,room_14,1776759992.51,1776759992.512,1776759992.515,4.707,1.84,2.871,room_alerts_mp
1776759993.519,room_15,1776759993.514,1776759993.517,1776759993.519,4.659,2.38,2.275,room_alerts_mp
1776759994.525,room_01,1776759994.518,1776759994.523,1776759994.525,7.035,5.27,1.762,room_alerts_mp
1776759996.527,room_03,1776759996.521,1776759996.525,1776759996.527,5.395,3.69,1.701,room_alerts_mp
1776759998.173,room_02,1776759995.521,1776759998.168,1776759998.173,2651.952,2647.12,4.834,room_alerts_mp
1776759998.545,room_04,1776759997.525,1776759998.169,1776759998.545,1020.896,644.42,376.477,room_alerts_mp
1776759998.547,room_05,1776759998.528,1776759998.53,1776759998.547,19.336,1.93,17.403,room_alerts_mp
1776759999.534,room_06,1776759999.529,1776759999.531,1776759999.534,4.926,1.95,2.974,room_alerts_mp
1776760000.538,room_07,1776760000.53,1776760000.536,1776760000.538,7.736,5.33,2.403,room_alerts_mp
1776760001.545,room_08,1776760001.537,1776760001.542,1776760001.545,7.821,4.74,3.077,room_alerts_mp
1776760002.546,room_09,1776760002.539,1776760002.544,1776760002.546,7.325,4.93,2.397,room_alerts_mp
1776760003.551,room_10,1776760003.543,1776760003.548,1776760003.551,7.862,4.79,3.077,room_alerts_mp
1776760004.55,room_11,1776760004.546,1776760004.548,1776760004.55,4.26,2.2,2.062,room_alerts_mp
1776760005.551,room_12,1776760005.548,1776760005.549,1776760005.551,3.393,1.24,2.153,room_alerts_mp
1776760006.56,room_13,1776760006.551,1776760006.559,1776760006.56,9.206,7.49,1.714,room_alerts_mp
1776760007.557,room_14,1776760007.553,1776760007.555,1776760007.557,3.834,2.04,1.795,room_alerts_mp
1776760008.563,room_15,1776760008.555,1776760008.559,1776760008.563,7.329,4.06,3.273,room_alerts_mp
1776760009.568,room_01,1776760009.561,1776760009.566,1776760009.568,6.692,4.51,2.185,room_alerts_mp
1776760010.567,room_02,1776760010.563,1776760010.565,1776760010.567,3.856,1.91,1.951,room_alerts_mp
1776760011.571,room_03,1776760011.565,1776760011.568,1776760011.571,6.016,3.83,2.187,room_alerts_mp
1776760012.574,room_04,1776760012.567,1776760012.571,1776760012.574,6.46,3.82,2.641,room_alerts_mp
1776760013.577,room_05,1776760013.572,1776760013.575,1776760013.577,4.897,2.66,2.234,room_alerts_mp
1776760014.578,room_06,1776760014.574,1776760014.576,1776760014.578,3.999,1.88,2.12,room_alerts_mp
1776760015.58,room_07,1776760015.576,1776760015.577,1776760015.58,4.02,1.7,2.323,room_alerts_mp
1776760016.586,room_08,1776760016.579,1776760016.583,1776760016.586,6.683,4.07,2.618,room_alerts_mp
1776760017.585,room_09,1776760017.581,1776760017.582,1776760017.585,4.099,1.61,2.489,room_alerts_mp
1776760018.588,room_10,1776760018.582,1776760018.585,1776760018.588,6.142,3.71,2.432,room_alerts_mp
1776760019.588,room_11,1776760019.583,1776760019.586,1776760019.588,5.222,3.15,2.068,room_alerts_mp
1776760020.588,room_12,1776760020.584,1776760020.586,1776760020.588,3.452,1.79,1.662,room_alerts_mp
1776760021.589,room_13,1776760021.585,1776760021.587,1776760021.589,4.255,2.24,2.014,room_alerts_mp
1776760022.59,room_14,1776760022.586,1776760022.588,1776760022.59,4.107,1.95,2.162,room_alerts_mp
1776760023.594,room_15,1776760023.589,1776760023.592,1776760023.594,4.603,2.82,1.784,room_alerts_mp
1776760024.595,room_01,1776760024.59,1776760024.592,1776760024.595,4.821,2.08,2.743,room_alerts_mp
1776760025.596,room_02,1776760025.591,1776760025.593,1776760025.596,4.201,1.86,2.341,room_alerts_mp
1776760026.597,room_03,1776760026.593,1776760026.595,1776760026.597,4.063,1.8,2.267,room_alerts_mp
1776760027.597,room_04,1776760027.593,1776760027.595,1776760027.597,3.769,1.37,2.398,room_alerts_mp
1776760028.603,room_05,1776760028.595,1776760028.6,1776760028.603,8.177,5.21,2.97,room_alerts_mp
1776760029.605,room_06,1776760029.6,1776760029.603,1776760029.605,5.485,3.36,2.128,room_alerts_mp
1776760030.61,room_07,1776760030.601,1776760030.604,1776760030.61,9.078,3.17,5.906,room_alerts_mp
1776760031.613,room_08,1776760031.602,1776760031.61,1776760031.613,11.791,8.43,3.357,room_alerts_mp
1776760032.606,room_09,1776760032.603,1776760032.605,1776760032.606,3.651,2.05,1.603,room_alerts_mp
1776760033.611,room_10,1776760033.604,1776760033.609,1776760033.611,7.371,5.02,2.352,room_alerts_mp
1776760034.616,room_11,1776760034.606,1776760034.613,1776760034.616,9.95,7.02,2.927,room_alerts_mp
1776760035.612,room_12,1776760035.608,1776760035.609,1776760035.612,3.965,1.62,2.342,room_alerts_mp
1776760036.618,room_13,1776760036.609,1776760036.616,1776760036.618,8.18,6.2,1.982,room_alerts_mp
1776760037.615,room_14,1776760037.61,1776760037.612,1776760037.615,4.249,1.87,2.38,room_alerts_mp
1776760038.616,room_15,1776760038.612,1776760038.613,1776760038.616,4.742,1.68,3.066,room_alerts_mp
1776760039.622,room_01,1776760039.614,1776760039.62,1776760039.622,8.139,6.03,2.113,room_alerts_mp
1776760040.623,room_02,1776760040.616,1776760040.62,1776760040.623,6.293,4.08,2.21,room_alerts_mp
1776760041.628,room_03,1776760041.62,1776760041.626,1776760041.628,8.349,5.72,2.63,room_alerts_mp
1776760042.625,room_04,1776760042.622,1776760042.623,1776760042.625,3.234,1.45,1.783,room_alerts_mp
1776760043.631,room_05,1776760043.624,1776760043.628,1776760043.631,6.909,3.73,3.177,room_alerts_mp
1776760044.633,room_06,1776760044.627,1776760044.631,1776760044.633,5.997,3.91,2.084,room_alerts_mp
1776760045.635,room_07,1776760045.63,1776760045.632,1776760045.635,5.374,2.19,3.185,room_alerts_mp
1776760046.643,room_08,1776760046.634,1776760046.641,1776760046.643,8.745,6.72,2.027,room_alerts_mp
1776760047.643,room_09,1776760047.636,1776760047.641,1776760047.643,6.988,4.93,2.06,room_alerts_mp
1776760048.644,room_10,1776760048.637,1776760048.641,1776760048.644,6.408,3.96,2.451,room_alerts_mp
1776760049.648,room_11,1776760049.64,1776760049.645,1776760049.648,7.139,4.55,2.584,room_alerts_mp
1776760050.65,room_12,1776760050.643,1776760050.648,1776760050.65,6.734,4.28,2.458,room_alerts_mp
1776760051.656,room_13,1776760051.648,1776760051.653,1776760051.656,8.415,5.44,2.978,room_alerts_mp
1776760052.654,room_14,1776760052.65,1776760052.652,1776760052.654,4.101,1.94,2.164,room_alerts_mp
1776760053.661,room_15,1776760053.653,1776760053.658,1776760053.661,8.104,5.32,2.78,room_alerts_mp
1776760054.669,room_01,1776760054.658,1776760054.666,1776760054.669,10.478,7.68,2.797,room_alerts_mp
1776760055.673,room_02,1776760055.664,1776760055.671,1776760055.673,8.396,6.33,2.068,room_alerts_mp
1776760056.672,room_03,1776760056.668,1776760056.669,1776760056.672,4.061,1.7,2.364,room_alerts_mp
1776760057.68,room_04,1776760057.673,1776760057.678,1776760057.68,6.977,5.46,1.515,room_alerts_mp
1776760058.684,room_05,1776760058.675,1776760058.68,1776760058.684,8.965,4.79,4.175,room_alerts_mp
1776760059.685,room_06,1776760059.678,1776760059.682,1776760059.685,7.492,4.43,3.06,room_alerts_mp
1776760060.685,room_07,1776760060.678,1776760060.683,1776760060.685,6.258,4.3,1.96,room_alerts_mp
1776760061.683,room_08,1776760061.68,1776760061.681,1776760061.683,3.657,1.6,2.057,room_alerts_mp
1776760062.685,room_09,1776760062.68,1776760062.682,1776760062.685,4.051,1.66,2.395,room_alerts_mp
1776760063.693,room_10,1776760063.685,1776760063.691,1776760063.693,8.421,6.42,1.997,room_alerts_mp
1776760064.694,room_11,1776760064.687,1776760064.691,1776760064.694,7.306,4.38,2.922,room_alerts_mp
1776760065.694,room_12,1776760065.689,1776760065.692,1776760065.694,5.724,3.31,2.414,room_alerts_mp
1776760066.693,room_13,1776760066.689,1776760066.691,1776760066.693,3.633,1.58,2.058,room_alerts_mp
1776760067.694,room_14,1776760067.691,1776760067.692,1776760067.694,3.252,1.59,1.663,room_alerts_mp
1776760068.699,room_15,1776760068.692,1776760068.697,1776760068.699,7.207,4.93,2.281,room_alerts_mp
1776760069.702,room_01,1776760069.694,1776760069.699,1776760069.702,8.148,5.26,2.887,room_alerts_mp
1776760070.707,room_02,1776760070.698,1776760070.705,1776760070.707,9.484,7.19,2.295,room_alerts_mp
1776760071.706,room_03,1776760071.701,1776760071.704,1776760071.706,4.801,2.57,2.234,room_alerts_mp
1776760072.709,room_04,1776760072.703,1776760072.706,1776760072.709,5.937,3.05,2.888,room_alerts_mp
1776760073.713,room_05,1776760073.705,1776760073.711,1776760073.713,8.694,5.96,2.733,room_alerts_mp
1776760074.716,room_06,1776760074.709,1776760074.714,1776760074.716,7.813,5.93,1.884,room_alerts_mp
1776760075.716,room_07,1776760075.711,1776760075.714,1776760075.716,4.942,3.16,1.787,room_alerts_mp
1776760076.72,room_08,1776760076.714,1776760076.718,1776760076.72,5.816,3.25,2.562,room_alerts_mp
1776760077.723,room_09,1776760077.719,1776760077.721,1776760077.723,3.922,1.91,2.011,room_alerts_mp
1776760078.723,room_10,1776760078.72,1776760078.722,1776760078.723,2.831,1.67,1.16,room_alerts_mp
1776760079.733,room_11,1776760079.725,1776760079.731,1776760079.733,7.434,5.64,1.79,room_alerts_mp
1776760080.734,room_12,1776760080.727,1776760080.732,1776760080.734,6.857,4.81,2.045,room_alerts_mp
1776760081.736,room_13,1776760081.728,1776760081.733,1776760081.736,7.425,4.93,2.493,room_alerts_mp
1776760082.735,room_14,1776760082.731,1776760082.733,1776760082.735,4.292,1.43,2.867,room_alerts_mp
1776760083.741,room_15,1776760083.733,1776760083.737,1776760083.741,7.327,3.54,3.784,room_alerts_mp
1776760084.74,room_01,1776760084.735,1776760084.738,1776760084.74,4.745,2.88,1.861,room_alerts_mp
1776760085.743,room_02,1776760085.736,1776760085.742,1776760085.743,7.6,5.93,1.668,room_alerts_mp
1776760086.742,room_03,1776760086.737,1776760086.739,1776760086.742,4.381,1.9,2.478,room_alerts_mp
1776760087.749,room_04,1776760087.739,1776760087.746,1776760087.749,9.184,6.47,2.717,room_alerts_mp
1776760088.748,room_05,1776760088.741,1776760088.745,1776760088.748,6.996,4.42,2.576,room_alerts_mp
1776760089.749,room_06,1776760089.742,1776760089.747,1776760089.749,6.239,4.52,1.724,room_alerts_mp
1776760090.75,room_07,1776760090.744,1776760090.748,1776760090.75,5.853,4.05,1.805,room_alerts_mp
1776760091.753,room_08,1776760091.747,1776760091.75,1776760091.753,5.295,3.27,2.024,room_alerts_mp
1776760092.755,room_09,1776760092.748,1776760092.752,1776760092.755,6.369,4.17,2.198,room_alerts_mp
1776760093.757,room_10,1776760093.749,1776760093.754,1776760093.757,7.493,4.87,2.618,room_alerts_mp
1776760094.757,room_11,1776760094.751,1776760094.755,1776760094.757,6.172,4.35,1.821,room_alerts_mp
1776760095.763,room_12,1776760095.756,1776760095.76,1776760095.763,6.234,3.92,2.317,room_alerts_mp
1776760096.768,room_13,1776760096.76,1776760096.766,1776760096.768,8.526,6.13,2.401,room_alerts_mp
1776760097.774,room_14,1776760097.766,1776760097.772,1776760097.774,7.569,5.76,1.811,room_alerts_mp
1776760098.77,room_15,1776760098.767,1776760098.769,1776760098.77,3.126,1.63,1.493,room_alerts_mp
1776760099.776,room_01,1776760099.769,1776760099.774,1776760099.776,6.985,5.54,1.442,room_alerts_mp
1776760100.775,room_02,1776760100.771,1776760100.773,1776760100.775,4.052,2.14,1.909,room_alerts_mp
1776760101.779,room_03,1776760101.773,1776760101.776,1776760101.779,6.466,3.78,2.69,room_alerts_mp
1776760102.779,room_04,1776760102.776,1776760102.777,1776760102.779,3.501,1.47,2.032,room_alerts_mp
1776760103.788,room_05,1776760103.778,1776760103.782,1776760103.788,9.982,3.38,6.6,room_alerts_mp
1776760104.783,room_06,1776760104.78,1776760104.781,1776760104.783,3.724,1.63,2.09,room_alerts_mp
1776760105.788,room_07,1776760105.782,1776760105.786,1776760105.788,6.282,4.22,2.059,room_alerts_mp
1776760106.789,room_08,1776760106.784,1776760106.787,1776760106.789,5.484,3.21,2.276,room_alerts_mp
1776760107.789,room_09,1776760107.785,1776760107.787,1776760107.789,3.589,1.6,1.991,room_alerts_mp
1776760108.791,room_10,1776760108.787,1776760108.789,1776760108.791,3.689,1.52,2.17,room_alerts_mp
1776760109.797,room_11,1776760109.79,1776760109.794,1776760109.797,6.657,4.02,2.64,room_alerts_mp
1776760110.799,room_12,1776760110.793,1776760110.797,1776760110.799,6.404,4.82,1.579,room_alerts_mp
1776760111.802,room_13,1776760111.795,1776760111.799,1776760111.802,7.059,4.43,2.629,room_alerts_mp
1776760112.8,room_14,1776760112.797,1776760112.799,1776760112.8,2.865,1.51,1.359,room_alerts_mp
1776760113.808,room_15,1776760113.801,1776760113.806,1776760113.808,6.773,4.69,2.084,room_alerts_mp
1776760114.808,room_01,1776760114.803,1776760114.806,1776760114.808,4.517,2.63,1.887,room_alerts_mp
1776760115.813,room_02,1776760115.806,1776760115.811,1776760115.813,6.664,4.92,1.748,room_alerts_mp
1776760116.814,room_03,1776760116.807,1776760116.812,1776760116.814,6.685,4.48,2.206,room_alerts_mp
1776760117.815,room_04,1776760117.812,1776760117.813,1776760117.815,2.899,1.55,1.351,room_alerts_mp
1776760118.822,room_05,1776760118.816,1776760118.82,1776760118.822,6.123,4.29,1.838,room_alerts_mp
1776760119.824,room_06,1776760119.817,1776760119.822,1776760119.824,7.266,4.72,2.545,room_alerts_mp
1776760120.831,room_07,1776760120.818,1776760120.823,1776760120.831,13.036,4.66,8.373,room_alerts_mp
1776760121.832,room_08,1776760121.823,1776760121.831,1776760121.832,9.585,7.83,1.755,room_alerts_mp
1776760122.832,room_09,1776760122.826,1776760122.83,1776760122.832,5.872,4.13,1.747,room_alerts_mp
1776760123.833,room_10,1776760123.83,1776760123.832,1776760123.833,2.957,1.42,1.533,room_alerts_mp
1776760125.095,room_11,1776760124.836,1776760124.842,1776760125.095,259.734,6.32,253.412,room_alerts_mp
1776760126.104,room_12,1776760125.838,1776760125.843,1776760126.104,266.37,4.79,261.585,room_alerts_mp
1776760126.851,room_13,1776760126.844,1776760126.849,1776760126.851,6.747,4.66,2.083,room_alerts_mp
1776760127.854,room_14,1776760127.846,1776760127.851,1776760127.854,7.105,4.61,2.494,room_alerts_mp
1776760128.854,room_15,1776760128.85,1776760128.852,1776760128.854,4.059,2.01,2.05,room_alerts_mp
1776760129.855,room_01,1776760129.851,1776760129.853,1776760129.855,4.265,1.96,2.306,room_alerts_mp
1776760130.857,room_02,1776760130.853,1776760130.855,1776760130.857,3.654,1.83,1.826,room_alerts_mp
1776760131.859,room_03,1776760131.854,1776760131.857,1776760131.859,4.77,3.06,1.709,room_alerts_mp
1776760132.861,room_04,1776760132.855,1776760132.859,1776760132.861,5.731,3.72,2.008,room_alerts_mp
1776760133.86,room_05,1776760133.857,1776760133.858,1776760133.86,2.954,1.32,1.631,room_alerts_mp
1776760134.867,room_06,1776760134.858,1776760134.864,1776760134.867,8.35,5.97,2.377,room_alerts_mp
1776760135.867,room_07,1776760135.861,1776760135.864,1776760135.867,6.022,3.63,2.39,room_alerts_mp
1776760136.868,room_08,1776760136.864,1776760136.867,1776760136.868,4.286,2.97,1.32,room_alerts_mp
1776760137.869,room_09,1776760137.865,1776760137.867,1776760137.869,3.698,1.66,2.038,room_alerts_mp
1776760138.916,room_10,1776760138.869,1776760138.873,1776760138.916,47.515,4.49,43.02,room_alerts_mp
1776760139.877,room_11,1776760139.871,1776760139.875,1776760139.877,6.374,3.66,2.711,room_alerts_mp
1776760140.88,room_12,1776760140.873,1776760140.878,1776760140.88,7.133,5.14,1.991,room_alerts_mp
1776760141.885,room_13,1776760141.878,1776760141.882,1776760141.885,7.505,4.06,3.45,room_alerts_mp
1776760142.886,room_14,1776760142.88,1776760142.884,1776760142.886,5.769,3.47,2.295,room_alerts_mp
1776760143.888,room_15,1776760143.881,1776760143.886,1776760143.888,6.756,4.27,2.486,room_alerts_mp
1776760144.89,room_01,1776760144.884,1776760144.887,1776760144.89,6.173,3.97,2.205,room_alerts_mp
1776760145.889,room_02,1776760145.885,1776760145.887,1776760145.889,3.8,1.86,1.941,room_alerts_mp
1776760146.895,room_03,1776760146.888,1776760146.893,1776760146.895,7.193,4.99,2.199,room_alerts_mp
1776760147.897,room_04,1776760147.891,1776760147.895,1776760147.897,6.377,3.96,2.414,room_alerts_mp
1776760148.898,room_05,1776760148.895,1776760148.897,1776760148.898,2.931,1.58,1.349,room_alerts_mp
1776760149.9,room_06,1776760149.896,1776760149.897,1776760149.9,3.578,1.44,2.136,room_alerts_mp
1776760150.9,room_07,1776760150.897,1776760150.898,1776760150.9,3.315,1.5,1.818,room_alerts_mp
1776760151.908,room_08,1776760151.902,1776760151.907,1776760151.908,6.415,4.81,1.604,room_alerts_mp
1776760152.91,room_09,1776760152.904,1776760152.908,1776760152.91,6.107,3.98,2.128,room_alerts_mp
1776760153.91,room_10,1776760153.906,1776760153.908,1776760153.91,3.209,1.6,1.61,room_alerts_mp
1776760154.917,room_11,1776760154.912,1776760154.915,1776760154.917,5.06,2.94,2.116,room_alerts_mp
1776760155.925,room_12,1776760155.918,1776760155.923,1776760155.925,6.873,5.24,1.635,room_alerts_mp
1776760156.923,room_13,1776760156.919,1776760156.921,1776760156.923,4.064,2.22,1.848,room_alerts_mp
1776760157.928,room_14,1776760157.92,1776760157.924,1776760157.928,8.075,4.23,3.847,room_alerts_mp
1776760158.924,room_15,1776760158.921,1776760158.923,1776760158.924,3.147,1.72,1.424,room_alerts_mp
1776760159.932,room_01,1776760159.926,1776760159.93,1776760159.932,5.865,4.29,1.58,room_alerts_mp
1776760160.934,room_02,1776760160.927,1776760160.932,1776760160.934,6.793,4.9,1.89,room_alerts_mp
1776760161.934,room_03,1776760161.929,1776760161.932,1776760161.934,5.465,3.75,1.714,room_alerts_mp
1776760162.934,room_04,1776760162.93,1776760162.931,1776760162.934,4.035,1.39,2.642,room_alerts_mp
1776760163.934,room_05,1776760163.93,1776760163.932,1776760163.934,3.551,1.42,2.13,room_alerts_mp
1776760164.941,room_06,1776760164.934,1776760164.939,1776760164.941,6.864,4.81,2.05,room_alerts_mp
1776760165.944,room_07,1776760165.936,1776760165.941,1776760165.944,7.624,4.71,2.914,room_alerts_mp
1776760166.945,room_08,1776760166.938,1776760166.943,1776760166.945,7.354,5.11,2.248,room_alerts_mp
1776760167.944,room_09,1776760167.94,1776760167.941,1776760167.944,3.848,1.46,2.383,room_alerts_mp
1776760168.948,room_10,1776760168.941,1776760168.945,1776760168.948,6.606,4.37,2.236,room_alerts_mp
1776760169.951,room_11,1776760169.946,1776760169.95,1776760169.951,5.927,4.28,1.645,room_alerts_mp
1776760170.954,room_12,1776760170.948,1776760170.952,1776760170.954,6.459,4.4,2.057,room_alerts_mp
1776760171.956,room_13,1776760171.949,1776760171.954,1776760171.956,7.272,5.34,1.928,room_alerts_mp
1776760172.953,room_14,1776760172.951,1776760172.952,1776760172.953,2.806,1.63,1.181,room_alerts_mp
1776760173.96,room_15,1776760173.952,1776760173.958,1776760173.96,8.321,5.75,2.571,room_alerts_mp
1776760174.966,room_01,1776760174.956,1776760174.962,1776760174.966,9.853,5.93,3.926,room_alerts_mp
1776760175.967,room_02,1776760175.958,1776760175.965,1776760175.967,8.573,7.08,1.49,room_alerts_mp
1776760176.968,room_03,1776760176.96,1776760176.966,1776760176.968,7.918,5.56,2.355,room_alerts_mp
1776760177.968,room_04,1776760177.964,1776760177.966,1776760177.968,3.459,1.48,1.98,room_alerts_mp
1776760178.973,room_05,1776760178.965,1776760178.971,1776760178.973,8.633,6.39,2.243,room_alerts_mp
1776760179.975,room_06,1776760179.968,1776760179.972,1776760179.975,6.792,4.04,2.757,room_alerts_mp
1776760180.973,room_07,1776760180.97,1776760180.972,1776760180.973,3.085,1.73,1.356,room_alerts_mp
1776760181.979,room_08,1776760181.972,1776760181.976,1776760181.979,6.715,4.44,2.277,room_alerts_mp
1776760182.981,room_09,1776760182.975,1776760182.98,1776760182.981,6.585,4.95,1.639,room_alerts_mp
