wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776759970.081,room_11,1776759970.078,1776759970.081,3.144,room_temperature_mp
1776759970.184,room_12,1776759970.181,1776759970.184,2.518,room_temperature_mp
1776759970.286,room_13,1776759970.283,1776759970.286,3.058,room_temperature_mp
1776759970.387,room_14,1776759970.384,1776759970.387,2.807,room_temperature_mp
1776759970.489,room_15,1776759970.486,1776759970.489,3.219,room_temperature_mp
1776759970.59,room_01,1776759970.587,1776759970.59,2.383,room_temperature_mp
1776759970.692,room_02,1776759970.688,1776759970.692,4.151,room_temperature_mp
1776759970.795,room_03,1776759970.79,1776759970.795,5.498,room_temperature_mp
1776759970.894,room_04,1776759970.892,1776759970.894,2.251,room_temperature_mp
1776759971.0,room_05,1776759970.995,1776759971.0,5.261,room_temperature_mp
1776759971.102,room_06,1776759971.097,1776759971.102,5.232,room_temperature_mp
1776759971.202,room_07,1776759971.2,1776759971.202,2.314,room_temperature_mp
1776759971.309,room_08,1776759971.305,1776759971.309,4.712,room_temperature_mp
1776759971.412,room_09,1776759971.41,1776759971.412,2.451,room_temperature_mp
1776759971.513,room_10,1776759971.511,1776759971.513,2.598,room_temperature_mp
1776759971.617,room_11,1776759971.615,1776759971.617,2.78,room_temperature_mp
1776759971.72,room_12,1776759971.717,1776759971.72,2.954,room_temperature_mp
1776759971.827,room_13,1776759971.824,1776759971.827,2.406,room_temperature_mp
1776759971.934,room_14,1776759971.928,1776759971.934,6.351,room_temperature_mp
1776759972.033,room_15,1776759972.031,1776759972.033,2.895,room_temperature_mp
1776759972.135,room_01,1776759972.131,1776759972.135,3.055,room_temperature_mp
1776759972.242,room_02,1776759972.235,1776759972.242,6.377,room_temperature_mp
1776759972.34,room_03,1776759972.336,1776759972.34,3.602,room_temperature_mp
1776759972.446,room_04,1776759972.439,1776759972.446,6.473,room_temperature_mp
1776759972.548,room_05,1776759972.546,1776759972.548,2.137,room_temperature_mp
1776759972.653,room_06,1776759972.65,1776759972.653,2.716,room_temperature_mp
1776759972.754,room_07,1776759972.752,1776759972.754,2.688,room_temperature_mp
1776759972.86,room_08,1776759972.855,1776759972.86,5.685,room_temperature_mp
1776759972.962,room_09,1776759972.957,1776759972.962,5.614,room_temperature_mp
1776759973.062,room_10,1776759973.058,1776759973.062,3.881,room_temperature_mp
1776759973.167,room_11,1776759973.165,1776759973.167,2.675,room_temperature_mp
1776759973.27,room_12,1776759973.265,1776759973.27,4.966,room_temperature_mp
1776759973.377,room_13,1776759973.37,1776759973.377,6.821,room_temperature_mp
1776759973.474,room_14,1776759973.471,1776759973.474,3.231,room_temperature_mp
1776759973.575,room_15,1776759973.573,1776759973.575,2.643,room_temperature_mp
1776759973.684,room_01,1776759973.679,1776759973.684,4.915,room_temperature_mp
1776759973.786,room_02,1776759973.781,1776759973.786,4.354,room_temperature_mp
1776759973.889,room_03,1776759973.884,1776759973.889,5.375,room_temperature_mp
1776759973.991,room_04,1776759973.987,1776759973.991,4.095,room_temperature_mp
1776759974.096,room_05,1776759974.093,1776759974.096,2.645,room_temperature_mp
1776759974.195,room_06,1776759974.193,1776759974.195,2.352,room_temperature_mp
1776759974.298,room_07,1776759974.295,1776759974.298,2.892,room_temperature_mp
1776759974.399,room_08,1776759974.396,1776759974.399,2.519,room_temperature_mp
1776759974.499,room_09,1776759974.496,1776759974.499,2.723,room_temperature_mp
1776759974.602,room_10,1776759974.6,1776759974.602,2.418,room_temperature_mp
1776759974.704,room_11,1776759974.701,1776759974.704,2.835,room_temperature_mp
1776759974.806,room_12,1776759974.802,1776759974.806,3.337,room_temperature_mp
1776759974.906,room_13,1776759974.903,1776759974.906,2.867,room_temperature_mp
1776759975.006,room_14,1776759975.004,1776759975.006,2.338,room_temperature_mp
1776759975.108,room_15,1776759975.105,1776759975.108,2.684,room_temperature_mp
1776759975.209,room_01,1776759975.206,1776759975.209,2.773,room_temperature_mp
1776759975.312,room_02,1776759975.309,1776759975.312,2.494,room_temperature_mp
1776759975.413,room_03,1776759975.411,1776759975.413,2.398,room_temperature_mp
1776759975.515,room_04,1776759975.513,1776759975.515,2.131,room_temperature_mp
