window_start,window_end,message_count,msgs_per_sec,topic
1776759969.792,1776759980.494,11,1.03,room_alerts_mp
1776759980.494,1776759990.516,10,1.0,room_alerts_mp
1776759990.516,1776760000.539,10,1.0,room_alerts_mp
1776760000.539,1776760010.568,10,1.0,room_alerts_mp
1776760010.568,1776760020.588,10,1.0,room_alerts_mp
1776760020.588,1776760030.606,10,1.0,room_alerts_mp
1776760030.606,1776760040.623,10,1.0,room_alerts_mp
1776760040.623,1776760050.65,10,1.0,room_alerts_mp
1776760050.65,1776760060.685,10,1.0,room_alerts_mp
1776760060.685,1776760070.707,10,1.0,room_alerts_mp
1776760070.707,1776760080.734,10,1.0,room_alerts_mp
1776760080.734,1776760090.75,10,1.0,room_alerts_mp
1776760090.75,1776760100.774,10,1.0,room_alerts_mp
1776760100.774,1776760110.799,10,1.0,room_alerts_mp
1776760110.799,1776760120.824,10,1.0,room_alerts_mp
1776760120.824,1776760130.856,10,1.0,room_alerts_mp
1776760130.856,1776760140.879,10,1.0,room_alerts_mp
1776760140.879,1776760150.9,10,1.0,room_alerts_mp
1776760150.9,1776760160.935,10,1.0,room_alerts_mp
1776760160.935,1776760170.956,10,1.0,room_alerts_mp
1776760170.956,1776760180.973,10,1.0,room_alerts_mp
1776760180.973,1776760191.046,10,0.99,room_alerts_mp
1776760191.046,1776760201.063,10,1.0,room_alerts_mp
1776760201.063,1776760211.088,10,1.0,room_alerts_mp
1776760211.088,1776760221.116,10,1.0,room_alerts_mp
1776760221.116,1776760231.139,10,1.0,room_alerts_mp
1776760231.139,1776760241.178,10,1.0,room_alerts_mp
1776760241.178,1776760251.199,10,1.0,room_alerts_mp
1776760251.199,1776760261.22,10,1.0,room_alerts_mp
1776760261.22,1776760271.25,10,1.0,room_alerts_mp
