window_start,window_end,message_count,msgs_per_sec,topic
1776759969.792,1776759979.8,96,9.59,room_temperature_mp
1776759979.8,1776759989.832,98,9.77,room_temperature_mp
1776759989.832,1776759999.843,98,9.79,room_temperature_mp
1776759999.843,1776760009.943,99,9.8,room_temperature_mp
1776760009.943,1776760020.036,99,9.81,room_temperature_mp
1776760020.036,1776760030.045,98,9.79,room_temperature_mp
1776760030.045,1776760040.058,98,9.79,room_temperature_mp
1776760040.058,1776760050.085,98,9.77,room_temperature_mp
1776760050.085,1776760060.136,98,9.75,room_temperature_mp
1776760060.136,1776760070.146,98,9.79,room_temperature_mp
1776760070.146,1776760080.153,98,9.79,room_temperature_mp
1776760080.153,1776760090.225,99,9.83,room_temperature_mp
1776760090.225,1776760100.283,98,9.74,room_temperature_mp
1776760100.283,1776760110.312,98,9.77,room_temperature_mp
1776760110.312,1776760120.33,98,9.78,room_temperature_mp
1776760120.33,1776760130.361,98,9.77,room_temperature_mp
1776760130.361,1776760140.422,98,9.74,room_temperature_mp
1776760140.422,1776760150.5,99,9.82,room_temperature_mp
1776760150.5,1776760160.577,99,9.82,room_temperature_mp
1776760160.577,1776760170.598,98,9.78,room_temperature_mp
1776760170.598,1776760180.624,98,9.77,room_temperature_mp
1776760180.624,1776760190.649,98,9.78,room_temperature_mp
1776760190.649,1776760200.735,99,9.82,room_temperature_mp
1776760200.735,1776760210.825,99,9.81,room_temperature_mp
1776760210.825,1776760220.924,99,9.8,room_temperature_mp
1776760220.924,1776760231.019,99,9.81,room_temperature_mp
1776760231.019,1776760241.058,98,9.76,room_temperature_mp
1776760241.058,1776760251.086,98,9.77,room_temperature_mp
1776760251.086,1776760261.095,98,9.79,room_temperature_mp
1776760261.095,1776760271.137,98,9.76,room_temperature_mp
