wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776760321.089,room_12,1776760321.086,1776760321.089,2.99,room_temperature_mp
1776760321.195,room_13,1776760321.192,1776760321.195,2.69,room_temperature_mp
1776760321.297,room_14,1776760321.294,1776760321.297,3.191,room_temperature_mp
1776760321.397,room_15,1776760321.394,1776760321.397,3.074,room_temperature_mp
1776760321.499,room_01,1776760321.497,1776760321.499,2.536,room_temperature_mp
1776760321.6,room_02,1776760321.597,1776760321.6,2.706,room_temperature_mp
1776760321.706,room_03,1776760321.703,1776760321.706,3.01,room_temperature_mp
1776760321.806,room_04,1776760321.804,1776760321.806,2.444,room_temperature_mp
1776760321.907,room_05,1776760321.905,1776760321.907,2.228,room_temperature_mp
1776760322.013,room_06,1776760322.01,1776760322.013,3.07,room_temperature_mp
1776760322.115,room_07,1776760322.112,1776760322.115,2.78,room_temperature_mp
1776760322.219,room_08,1776760322.213,1776760322.219,5.521,room_temperature_mp
1776760322.317,room_09,1776760322.314,1776760322.317,3.011,room_temperature_mp
1776760322.417,room_10,1776760322.415,1776760322.417,2.162,room_temperature_mp
1776760322.523,room_11,1776760322.516,1776760322.523,6.264,room_temperature_mp
1776760322.622,room_12,1776760322.617,1776760322.622,4.956,room_temperature_mp
1776760322.726,room_13,1776760322.719,1776760322.726,6.176,room_temperature_mp
1776760322.823,room_14,1776760322.82,1776760322.823,2.483,room_temperature_mp
1776760322.924,room_15,1776760322.921,1776760322.924,2.725,room_temperature_mp
1776760323.03,room_01,1776760323.023,1776760323.03,6.54,room_temperature_mp
1776760323.135,room_02,1776760323.129,1776760323.135,6.496,room_temperature_mp
1776760323.237,room_03,1776760323.232,1776760323.237,4.919,room_temperature_mp
1776760323.335,room_04,1776760323.332,1776760323.335,2.174,room_temperature_mp
1776760323.446,room_05,1776760323.438,1776760323.446,7.363,room_temperature_mp
1776760323.551,room_06,1776760323.546,1776760323.551,5.615,room_temperature_mp
1776760323.65,room_07,1776760323.648,1776760323.65,2.24,room_temperature_mp
1776760323.756,room_08,1776760323.75,1776760323.756,6.027,room_temperature_mp
