window_start,window_end,message_count,msgs_per_sec,topic
1776760320.82,1776760331.417,11,1.04,room_alerts_mp
1776760331.417,1776760341.436,10,1.0,room_alerts_mp
1776760341.436,1776760351.469,10,1.0,room_alerts_mp
1776760351.469,1776760361.498,10,1.0,room_alerts_mp
1776760361.498,1776760371.529,10,1.0,room_alerts_mp
1776760371.529,1776760381.551,10,1.0,room_alerts_mp
1776760381.551,1776760391.587,10,1.0,room_alerts_mp
1776760391.587,1776760401.6,10,1.0,room_alerts_mp
1776760401.6,1776760411.633,10,1.0,room_alerts_mp
1776760411.633,1776760421.658,10,1.0,room_alerts_mp
1776760421.658,1776760431.694,10,1.0,room_alerts_mp
1776760431.694,1776760441.717,10,1.0,room_alerts_mp
1776760441.717,1776760451.752,10,1.0,room_alerts_mp
1776760451.752,1776760461.778,10,1.0,room_alerts_mp
1776760461.778,1776760471.812,10,1.0,room_alerts_mp
1776760471.812,1776760481.841,10,1.0,room_alerts_mp
1776760481.841,1776760491.862,10,1.0,room_alerts_mp
1776760491.862,1776760501.877,10,1.0,room_alerts_mp
1776760501.877,1776760511.899,10,1.0,room_alerts_mp
1776760511.899,1776760521.934,10,1.0,room_alerts_mp
1776760521.934,1776760531.96,10,1.0,room_alerts_mp
1776760531.96,1776760541.981,10,1.0,room_alerts_mp
1776760541.981,1776760552.04,10,0.99,room_alerts_mp
1776760552.04,1776760563.051,11,1.0,room_alerts_mp
1776760563.051,1776760573.061,10,1.0,room_alerts_mp
1776760573.061,1776760583.091,10,1.0,room_alerts_mp
1776760583.091,1776760593.117,10,1.0,room_alerts_mp
1776760593.117,1776760603.171,10,0.99,room_alerts_mp
1776760603.171,1776760613.18,10,1.0,room_alerts_mp
1776760613.18,1776760623.217,10,1.0,room_alerts_mp
