window_start,window_end,message_count,msgs_per_sec,topic
1776760320.819,1776760330.893,97,9.63,room_temperature_mp
1776760330.893,1776760340.992,99,9.8,room_temperature_mp
1776760340.992,1776760351.072,99,9.82,room_temperature_mp
1776760351.072,1776760361.08,98,9.79,room_temperature_mp
1776760361.08,1776760371.127,98,9.75,room_temperature_mp
1776760371.127,1776760381.163,98,9.76,room_temperature_mp
1776760381.163,1776760391.193,97,9.67,room_temperature_mp
1776760391.193,1776760401.194,99,9.9,room_temperature_mp
1776760401.194,1776760411.289,99,9.81,room_temperature_mp
1776760411.289,1776760421.324,98,9.77,room_temperature_mp
1776760421.324,1776760431.374,98,9.75,room_temperature_mp
1776760431.374,1776760441.384,98,9.79,room_temperature_mp
1776760441.384,1776760451.41,98,9.77,room_temperature_mp
1776760451.41,1776760461.421,97,9.69,room_temperature_mp
1776760461.421,1776760471.424,98,9.8,room_temperature_mp
1776760471.424,1776760481.484,98,9.74,room_temperature_mp
1776760481.484,1776760491.569,98,9.72,room_temperature_mp
1776760491.569,1776760501.586,98,9.78,room_temperature_mp
1776760501.586,1776760511.624,98,9.76,room_temperature_mp
1776760511.624,1776760521.65,98,9.77,room_temperature_mp
1776760521.65,1776760531.71,98,9.74,room_temperature_mp
1776760531.71,1776760541.733,98,9.78,room_temperature_mp
1776760541.733,1776760551.749,98,9.78,room_temperature_mp
1776760551.749,1776760561.85,99,9.8,room_temperature_mp
1776760561.85,1776760571.859,98,9.79,room_temperature_mp
1776760571.859,1776760581.887,98,9.77,room_temperature_mp
1776760581.887,1776760591.975,99,9.81,room_temperature_mp
1776760591.975,1776760602.012,98,9.76,room_temperature_mp
1776760602.012,1776760612.109,99,9.81,room_temperature_mp
1776760612.109,1776760622.129,98,9.78,room_temperature_mp
