wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776757730.211,room_07,1776757730.206,1776757730.208,1776757730.211,5.635,2.01,3.623,room_alerts_mp
1776757730.212,room_07,1776757730.205,1776757730.208,1776757730.212,6.126,2.42,3.705,room_alerts_mp
1776757730.245,room_07,1776757730.238,1776757730.242,1776757730.245,7.819,4.79,3.027,room_alerts_mp
1776757731.221,room_08,1776757731.209,1776757731.219,1776757731.221,11.665,9.34,2.328,room_alerts_mp
1776757731.223,room_08,1776757731.217,1776757731.22,1776757731.223,5.926,3.24,2.682,room_alerts_mp
1776757731.245,room_08,1776757731.24,1776757731.242,1776757731.245,5.287,2.26,3.029,room_alerts_mp
1776757732.217,room_09,1776757732.213,1776757732.214,1776757732.217,4.371,1.93,2.438,room_alerts_mp
1776757732.223,room_09,1776757732.218,1776757732.22,1776757732.223,5.097,2.12,2.98,room_alerts_mp
1776757732.247,room_09,1776757732.243,1776757732.245,1776757732.247,3.842,1.78,2.063,room_alerts_mp
1776757733.225,room_10,1776757733.215,1776757733.223,1776757733.225,10.082,7.86,2.22,room_alerts_mp
1776757733.73,room_10,1776757733.221,1776757733.223,1776757733.73,509.411,1.99,507.418,room_alerts_mp
1776757734.232,room_10,1776757733.244,1776757733.249,1776757734.232,988.014,4.35,983.665,room_alerts_mp
1776757734.25,room_11,1776757734.216,1776757734.218,1776757734.25,34.486,2.42,32.065,room_alerts_mp
1776757734.251,room_11,1776757734.222,1776757734.224,1776757734.251,28.778,2.09,26.688,room_alerts_mp
1776757734.251,room_11,1776757734.246,1776757734.248,1776757734.251,4.866,1.94,2.926,room_alerts_mp
1776757735.222,room_12,1776757735.217,1776757735.22,1776757735.222,4.315,2.35,1.967,room_alerts_mp
1776757735.227,room_12,1776757735.223,1776757735.225,1776757735.227,4.296,1.78,2.513,room_alerts_mp
1776757735.25,room_12,1776757735.247,1776757735.249,1776757735.25,3.517,2.03,1.487,room_alerts_mp
1776757736.224,room_13,1776757736.22,1776757736.222,1776757736.224,4.149,1.98,2.167,room_alerts_mp
1776757736.227,room_13,1776757736.224,1776757736.226,1776757736.227,3.761,1.8,1.956,room_alerts_mp
1776757736.253,room_13,1776757736.248,1776757736.25,1776757736.253,5.049,2.07,2.983,room_alerts_mp
1776757737.225,room_14,1776757737.221,1776757737.223,1776757737.225,3.842,2.06,1.784,room_alerts_mp
1776757737.229,room_14,1776757737.225,1776757737.226,1776757737.229,4.036,1.72,2.314,room_alerts_mp
1776757737.253,room_14,1776757737.249,1776757737.251,1776757737.253,4.179,1.89,2.291,room_alerts_mp
1776757738.23,room_15,1776757738.226,1776757738.228,1776757738.23,4.026,2.1,1.926,room_alerts_mp
1776757738.232,room_15,1776757738.226,1776757738.23,1776757738.232,5.27,3.5,1.767,room_alerts_mp
1776757738.258,room_15,1776757738.254,1776757738.256,1776757738.258,4.291,1.84,2.452,room_alerts_mp
1776757739.232,room_01,1776757739.226,1776757739.23,1776757739.232,5.865,3.65,2.219,room_alerts_mp
1776757739.233,room_01,1776757739.227,1776757739.231,1776757739.233,5.884,3.8,2.087,room_alerts_mp
1776757739.26,room_01,1776757739.256,1776757739.258,1776757739.26,3.655,1.84,1.818,room_alerts_mp
1776757740.237,room_02,1776757740.23,1776757740.235,1776757740.237,6.759,4.8,1.962,room_alerts_mp
1776757740.239,room_02,1776757740.234,1776757740.235,1776757740.239,5.231,1.64,3.589,room_alerts_mp
1776757740.263,room_02,1776757740.259,1776757740.26,1776757740.263,3.83,1.29,2.537,room_alerts_mp
1776757741.241,room_03,1776757741.234,1776757741.239,1776757741.241,7.01,4.8,2.209,room_alerts_mp
1776757741.243,room_03,1776757741.238,1776757741.24,1776757741.243,4.948,1.96,2.984,room_alerts_mp
1776757741.263,room_03,1776757741.259,1776757741.261,1776757741.263,3.713,1.79,1.923,room_alerts_mp
1776757742.244,room_04,1776757742.239,1776757742.241,1776757742.244,4.507,2.07,2.441,room_alerts_mp
1776757742.746,room_04,1776757742.24,1776757742.242,1776757742.746,506.118,1.93,504.189,room_alerts_mp
1776757742.747,room_04,1776757742.261,1776757742.263,1776757742.747,486.171,1.82,484.346,room_alerts_mp
1776757743.244,room_05,1776757743.241,1776757743.242,1776757743.244,3.95,1.99,1.965,room_alerts_mp
1776757743.248,room_05,1776757743.241,1776757743.244,1776757743.248,7.221,2.4,4.821,room_alerts_mp
1776757743.266,room_05,1776757743.263,1776757743.265,1776757743.266,3.722,1.82,1.898,room_alerts_mp
1776757744.258,room_06,1776757744.251,1776757744.255,1776757744.258,7.467,4.69,2.773,room_alerts_mp
1776757744.648,room_06,1776757744.251,1776757744.255,1776757744.648,396.794,4.61,392.184,room_alerts_mp
1776757744.649,room_06,1776757744.263,1776757744.266,1776757744.649,385.269,2.04,383.224,room_alerts_mp
1776757745.257,room_07,1776757745.251,1776757745.253,1776757745.257,6.011,1.7,4.311,room_alerts_mp
1776757745.257,room_07,1776757745.251,1776757745.253,1776757745.257,6.181,1.81,4.376,room_alerts_mp
1776757745.269,room_07,1776757745.265,1776757745.267,1776757745.269,3.911,1.79,2.12,room_alerts_mp
1776757746.26,room_08,1776757746.254,1776757746.258,1776757746.26,6.979,4.43,2.545,room_alerts_mp
1776757746.267,room_08,1776757746.254,1776757746.258,1776757746.267,12.791,3.85,8.942,room_alerts_mp
1776757746.269,room_08,1776757746.265,1776757746.267,1776757746.269,3.583,1.99,1.592,room_alerts_mp
1776757747.267,room_09,1776757747.26,1776757747.264,1776757747.267,7.177,3.96,3.214,room_alerts_mp
1776757747.27,room_09,1776757747.259,1776757747.264,1776757747.27,10.703,4.53,6.176,room_alerts_mp
1776757747.271,room_09,1776757747.266,1776757747.268,1776757747.271,5.059,1.58,3.482,room_alerts_mp
1776757748.269,room_10,1776757748.264,1776757748.266,1776757748.269,4.958,2.33,2.632,room_alerts_mp
1776757748.271,room_10,1776757748.264,1776757748.267,1776757748.271,7.301,2.75,4.549,room_alerts_mp
1776757748.272,room_10,1776757748.267,1776757748.269,1776757748.272,4.237,1.73,2.503,room_alerts_mp
1776757749.271,room_11,1776757749.267,1776757749.268,1776757749.271,4.137,1.83,2.311,room_alerts_mp
1776757749.273,room_11,1776757749.268,1776757749.269,1776757749.273,5.021,1.17,3.853,room_alerts_mp
1776757749.275,room_11,1776757749.269,1776757749.271,1776757749.275,5.671,1.78,3.894,room_alerts_mp
1776757750.277,room_12,1776757750.27,1776757750.275,1776757750.277,7.143,4.92,2.219,room_alerts_mp
1776757750.279,room_12,1776757750.269,1776757750.276,1776757750.279,9.838,6.59,3.252,room_alerts_mp
1776757750.28,room_12,1776757750.271,1776757750.276,1776757750.28,8.659,5.11,3.554,room_alerts_mp
1776757751.275,room_13,1776757751.271,1776757751.273,1776757751.275,4.509,2.27,2.235,room_alerts_mp
1776757751.312,room_13,1776757751.272,1776757751.274,1776757751.312,39.748,1.61,38.142,room_alerts_mp
1776757751.313,room_13,1776757751.272,1776757751.275,1776757751.313,41.059,2.36,38.701,room_alerts_mp
1776757752.275,room_14,1776757752.271,1776757752.274,1776757752.275,3.958,2.26,1.7,room_alerts_mp
1776757752.277,room_14,1776757752.273,1776757752.275,1776757752.277,3.544,1.74,1.8,room_alerts_mp
1776757752.278,room_14,1776757752.273,1776757752.276,1776757752.278,4.455,2.56,1.892,room_alerts_mp
1776757753.279,room_15,1776757753.274,1776757753.276,1776757753.279,4.843,2.2,2.648,room_alerts_mp
1776757753.279,room_15,1776757753.274,1776757753.276,1776757753.279,5.109,2.12,2.986,room_alerts_mp
1776757753.279,room_15,1776757753.274,1776757753.276,1776757753.279,5.069,2.0,3.065,room_alerts_mp
1776757754.29,room_01,1776757754.279,1776757754.285,1776757754.29,10.391,5.98,4.409,room_alerts_mp
1776757754.29,room_01,1776757754.279,1776757754.285,1776757754.29,11.688,6.82,4.864,room_alerts_mp
1776757754.29,room_01,1776757754.279,1776757754.285,1776757754.29,11.685,6.31,5.372,room_alerts_mp
1776757755.291,room_02,1776757755.282,1776757755.287,1776757755.291,8.777,4.93,3.844,room_alerts_mp
1776757755.291,room_02,1776757755.281,1776757755.287,1776757755.291,10.087,5.74,4.347,room_alerts_mp
1776757755.292,room_02,1776757755.282,1776757755.288,1776757755.292,9.788,5.76,4.03,room_alerts_mp
1776757756.293,room_03,1776757756.284,1776757756.29,1776757756.293,9.027,6.37,2.653,room_alerts_mp
1776757756.293,room_03,1776757756.285,1776757756.29,1776757756.293,7.698,4.59,3.106,room_alerts_mp
1776757756.293,room_03,1776757756.285,1776757756.29,1776757756.293,8.605,5.21,3.397,room_alerts_mp
1776757757.292,room_04,1776757757.289,1776757757.29,1776757757.292,3.921,1.85,2.074,room_alerts_mp
1776757757.293,room_04,1776757757.288,1776757757.29,1776757757.293,4.076,1.94,2.131,room_alerts_mp
1776757757.293,room_04,1776757757.289,1776757757.29,1776757757.293,4.179,1.93,2.248,room_alerts_mp
1776757758.293,room_05,1776757758.289,1776757758.291,1776757758.293,3.517,1.71,1.81,room_alerts_mp
1776757758.293,room_05,1776757758.29,1776757758.291,1776757758.293,3.808,1.57,2.238,room_alerts_mp
1776757758.295,room_05,1776757758.289,1776757758.292,1776757758.295,5.302,2.7,2.598,room_alerts_mp
1776757759.302,room_06,1776757759.291,1776757759.298,1776757759.302,11.284,7.8,3.487,room_alerts_mp
1776757759.303,room_06,1776757759.291,1776757759.298,1776757759.303,11.494,7.26,4.236,room_alerts_mp
1776757759.305,room_06,1776757759.297,1776757759.3,1776757759.305,8.736,3.47,5.269,room_alerts_mp
1776757760.302,room_07,1776757760.294,1776757760.299,1776757760.302,7.712,4.43,3.283,room_alerts_mp
1776757760.304,room_07,1776757760.297,1776757760.3,1776757760.304,6.769,2.62,4.145,room_alerts_mp
1776757760.304,room_07,1776757760.293,1776757760.297,1776757760.304,10.889,3.65,7.235,room_alerts_mp
1776757761.303,room_08,1776757761.298,1776757761.301,1776757761.303,5.019,2.69,2.331,room_alerts_mp
1776757761.305,room_08,1776757761.296,1776757761.3,1776757761.305,8.779,3.9,4.881,room_alerts_mp
1776757761.305,room_08,1776757761.298,1776757761.301,1776757761.305,6.273,2.79,3.487,room_alerts_mp
1776757762.31,room_09,1776757762.299,1776757762.307,1776757762.31,10.689,8.36,2.33,room_alerts_mp
1776757762.312,room_09,1776757762.306,1776757762.309,1776757762.312,5.956,3.15,2.809,room_alerts_mp
1776757762.813,room_09,1776757762.302,1776757762.309,1776757762.813,510.923,7.11,503.814,room_alerts_mp
1776757763.305,room_10,1776757763.3,1776757763.303,1776757763.305,4.071,2.16,1.915,room_alerts_mp
1776757763.309,room_10,1776757763.304,1776757763.306,1776757763.309,4.616,1.98,2.64,room_alerts_mp
1776757763.311,room_10,1776757763.307,1776757763.309,1776757763.311,4.25,2.33,1.924,room_alerts_mp
1776757764.309,room_11,1776757764.302,1776757764.307,1776757764.309,6.386,4.07,2.316,room_alerts_mp
1776757764.311,room_11,1776757764.305,1776757764.308,1776757764.311,5.292,2.54,2.751,room_alerts_mp
1776757764.312,room_11,1776757764.307,1776757764.31,1776757764.312,4.735,2.34,2.393,room_alerts_mp
1776757765.309,room_12,1776757765.305,1776757765.307,1776757765.309,4.199,2.08,2.12,room_alerts_mp
1776757765.31,room_12,1776757765.306,1776757765.309,1776757765.31,3.98,2.21,1.77,room_alerts_mp
1776757765.312,room_12,1776757765.309,1776757765.31,1776757765.312,3.084,1.32,1.762,room_alerts_mp
1776757766.316,room_13,1776757766.309,1776757766.314,1776757766.316,7.011,5.01,2.002,room_alerts_mp
