wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776757729.695,room_10,1776757729.693,1776757729.695,2.295,room_temperature_mp
1776757729.697,room_10,1776757729.695,1776757729.697,2.591,room_temperature_mp
1776757729.698,room_10,1776757729.695,1776757729.698,3.104,room_temperature_mp
1776757729.796,room_11,1776757729.794,1776757729.796,2.524,room_temperature_mp
1776757729.798,room_11,1776757729.796,1776757729.798,1.938,room_temperature_mp
1776757729.799,room_11,1776757729.796,1776757729.799,2.587,room_temperature_mp
1776757729.897,room_12,1776757729.895,1776757729.897,2.488,room_temperature_mp
1776757729.899,room_12,1776757729.897,1776757729.899,2.103,room_temperature_mp
1776757729.9,room_12,1776757729.897,1776757729.9,2.395,room_temperature_mp
1776757730.001,room_13,1776757729.999,1776757730.001,2.474,room_temperature_mp
1776757730.001,room_13,1776757729.999,1776757730.001,2.63,room_temperature_mp
1776757730.001,room_13,1776757730.0,1776757730.001,1.934,room_temperature_mp
1776757730.102,room_14,1776757730.1,1776757730.102,2.489,room_temperature_mp
1776757730.103,room_14,1776757730.1,1776757730.103,3.715,room_temperature_mp
1776757730.104,room_14,1776757730.1,1776757730.104,3.803,room_temperature_mp
1776757730.209,room_15,1776757730.203,1776757730.209,5.745,room_temperature_mp
1776757730.209,room_15,1776757730.206,1776757730.209,3.69,room_temperature_mp
1776757730.209,room_15,1776757730.205,1776757730.209,4.381,room_temperature_mp
1776757730.313,room_01,1776757730.308,1776757730.313,4.786,room_temperature_mp
1776757730.313,room_01,1776757730.306,1776757730.313,6.798,room_temperature_mp
1776757730.313,room_01,1776757730.308,1776757730.313,4.669,room_temperature_mp
1776757730.415,room_02,1776757730.409,1776757730.415,5.727,room_temperature_mp
1776757730.415,room_02,1776757730.41,1776757730.415,5.133,room_temperature_mp
1776757730.415,room_02,1776757730.409,1776757730.415,5.981,room_temperature_mp
1776757730.517,room_03,1776757730.512,1776757730.517,5.208,room_temperature_mp
