window_start,window_end,message_count,msgs_per_sec,topic
1776757729.397,1776757740.236,31,2.86,room_alerts_mp
1776757740.236,1776757750.277,30,2.99,room_alerts_mp
1776757750.277,1776757760.299,30,2.99,room_alerts_mp
1776757760.299,1776757770.32,30,2.99,room_alerts_mp
1776757770.32,1776757780.353,30,2.99,room_alerts_mp
1776757780.353,1776757790.39,30,2.99,room_alerts_mp
1776757790.39,1776757800.392,30,3.0,room_alerts_mp
1776757800.392,1776757810.42,30,2.99,room_alerts_mp
1776757810.42,1776757820.448,30,2.99,room_alerts_mp
1776757820.448,1776757830.466,30,2.99,room_alerts_mp
1776757830.466,1776757840.478,30,3.0,room_alerts_mp
1776757840.478,1776757850.498,30,2.99,room_alerts_mp
1776757850.498,1776757860.517,30,2.99,room_alerts_mp
1776757860.517,1776757870.528,30,3.0,room_alerts_mp
1776757870.528,1776757880.552,30,2.99,room_alerts_mp
1776757880.552,1776757890.575,30,2.99,room_alerts_mp
1776757890.575,1776757900.598,30,2.99,room_alerts_mp
1776757900.598,1776757910.615,30,2.99,room_alerts_mp
1776757910.615,1776757920.64,30,2.99,room_alerts_mp
1776757920.64,1776757930.665,30,2.99,room_alerts_mp
1776757930.665,1776757940.683,30,2.99,room_alerts_mp
1776757940.683,1776757950.704,30,2.99,room_alerts_mp
1776757950.704,1776757960.726,30,2.99,room_alerts_mp
1776757960.726,1776757970.759,30,2.99,room_alerts_mp
1776757970.759,1776757980.766,30,3.0,room_alerts_mp
1776757980.766,1776757990.784,30,2.99,room_alerts_mp
1776757990.784,1776758000.813,30,2.99,room_alerts_mp
1776758000.813,1776758010.835,30,2.99,room_alerts_mp
1776758010.835,1776758020.858,30,2.99,room_alerts_mp
1776758020.858,1776758030.882,30,2.99,room_alerts_mp
