window_start,window_end,message_count,msgs_per_sec,topic
1776757729.398,1776757739.45,289,28.75,room_temperature_mp
1776757739.45,1776757749.52,297,29.49,room_temperature_mp
1776757749.52,1776757759.613,297,29.43,room_temperature_mp
1776757759.613,1776757769.624,294,29.37,room_temperature_mp
1776757769.624,1776757779.642,294,29.35,room_temperature_mp
1776757779.642,1776757789.738,297,29.42,room_temperature_mp
1776757789.738,1776757799.753,294,29.36,room_temperature_mp
1776757799.753,1776757809.837,297,29.45,room_temperature_mp
1776757809.837,1776757819.9,294,29.22,room_temperature_mp
1776757819.9,1776757829.932,294,29.31,room_temperature_mp
1776757829.932,1776757839.953,294,29.34,room_temperature_mp
1776757839.953,1776757849.98,294,29.32,room_temperature_mp
1776757849.98,1776757860.0,294,29.34,room_temperature_mp
1776757860.0,1776757870.096,297,29.42,room_temperature_mp
1776757870.096,1776757880.202,297,29.39,room_temperature_mp
1776757880.202,1776757890.209,294,29.38,room_temperature_mp
1776757890.209,1776757900.278,294,29.2,room_temperature_mp
1776757900.278,1776757910.298,293,29.24,room_temperature_mp
1776757910.298,1776757920.316,295,29.45,room_temperature_mp
1776757920.316,1776757930.396,297,29.47,room_temperature_mp
1776757930.396,1776757940.405,294,29.37,room_temperature_mp
1776757940.405,1776757950.408,294,29.39,room_temperature_mp
1776757950.408,1776757960.408,295,29.5,room_temperature_mp
1776757960.408,1776757970.44,293,29.21,room_temperature_mp
1776757970.44,1776757980.444,294,29.39,room_temperature_mp
1776757980.444,1776757990.54,297,29.42,room_temperature_mp
1776757990.54,1776758000.559,294,29.34,room_temperature_mp
1776758000.559,1776758010.562,295,29.49,room_temperature_mp
1776758010.562,1776758020.579,293,29.25,room_temperature_mp
1776758020.579,1776758030.595,294,29.35,room_temperature_mp
