window_start,window_end,message_count,msgs_per_sec,topic
1776722902.821,1776722912.834,10,1.0,room_alerts_mp
1776722912.834,1776722922.859,10,1.0,room_alerts_mp
1776722922.859,1776722932.868,10,1.0,room_alerts_mp
1776722932.868,1776722942.894,10,1.0,room_alerts_mp
1776722942.894,1776722952.909,10,1.0,room_alerts_mp
1776722952.909,1776722962.941,10,1.0,room_alerts_mp
1776722962.941,1776722972.97,10,1.0,room_alerts_mp
1776722972.97,1776722982.996,10,1.0,room_alerts_mp
1776722982.996,1776722993.037,10,1.0,room_alerts_mp
1776722993.037,1776723003.061,10,1.0,room_alerts_mp
1776723003.061,1776723013.089,10,1.0,room_alerts_mp
1776723013.089,1776723023.118,10,1.0,room_alerts_mp
1776723023.118,1776723033.153,10,1.0,room_alerts_mp
1776723033.153,1776723043.178,10,1.0,room_alerts_mp
1776723043.178,1776723053.2,10,1.0,room_alerts_mp
1776723053.2,1776723063.229,10,1.0,room_alerts_mp
1776723063.229,1776723073.253,10,1.0,room_alerts_mp
1776723073.253,1776723083.275,10,1.0,room_alerts_mp
1776723083.275,1776723093.299,10,1.0,room_alerts_mp
1776723093.299,1776723103.324,10,1.0,room_alerts_mp
1776723103.324,1776723113.348,10,1.0,room_alerts_mp
1776723113.348,1776723123.37,10,1.0,room_alerts_mp
1776723123.37,1776723133.385,10,1.0,room_alerts_mp
1776723133.385,1776723143.404,10,1.0,room_alerts_mp
1776723143.404,1776723153.425,10,1.0,room_alerts_mp
1776723153.425,1776723163.45,10,1.0,room_alerts_mp
1776723163.45,1776723173.476,10,1.0,room_alerts_mp
1776723173.476,1776723183.5,10,1.0,room_alerts_mp
1776723183.5,1776723193.535,10,1.0,room_alerts_mp
1776723193.535,1776723203.554,10,1.0,room_alerts_mp
