window_start,window_end,message_count,msgs_per_sec,topic
1776722902.822,1776722912.916,97,9.61,room_temperature_mp
1776722912.916,1776722922.931,98,9.79,room_temperature_mp
1776722922.931,1776722932.955,98,9.78,room_temperature_mp
1776722932.955,1776722942.957,98,9.8,room_temperature_mp
1776722942.957,1776722952.961,98,9.8,room_temperature_mp
1776722952.961,1776722962.978,98,9.78,room_temperature_mp
1776722962.978,1776722973.047,98,9.73,room_temperature_mp
1776722973.047,1776722983.107,98,9.74,room_temperature_mp
1776722983.107,1776722993.127,98,9.78,room_temperature_mp
1776722993.127,1776723003.161,98,9.77,room_temperature_mp
1776723003.161,1776723013.186,98,9.78,room_temperature_mp
1776723013.186,1776723023.237,98,9.75,room_temperature_mp
1776723023.237,1776723033.3,98,9.74,room_temperature_mp
1776723033.3,1776723043.363,98,9.74,room_temperature_mp
1776723043.363,1776723053.394,98,9.77,room_temperature_mp
1776723053.394,1776723063.414,98,9.78,room_temperature_mp
1776723063.414,1776723073.416,98,9.8,room_temperature_mp
1776723073.416,1776723083.422,98,9.79,room_temperature_mp
1776723083.422,1776723093.447,98,9.78,room_temperature_mp
1776723093.447,1776723103.54,99,9.81,room_temperature_mp
1776723103.54,1776723113.562,98,9.78,room_temperature_mp
1776723113.562,1776723123.603,98,9.76,room_temperature_mp
1776723123.603,1776723133.616,98,9.79,room_temperature_mp
1776723133.616,1776723143.644,98,9.77,room_temperature_mp
1776723143.644,1776723153.671,98,9.77,room_temperature_mp
1776723153.671,1776723163.696,98,9.77,room_temperature_mp
1776723163.696,1776723173.731,98,9.77,room_temperature_mp
1776723173.731,1776723183.779,98,9.75,room_temperature_mp
1776723183.779,1776723193.789,98,9.79,room_temperature_mp
1776723193.789,1776723203.847,98,9.74,room_temperature_mp
